LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinment ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_2,2,2,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,6.555000000000064,1896.3499999999997,1557.6750000000002,0.0,0.0010922668244257101,0.002012070466047311,0.0,0.0011497545520271425,7.440164669874541E-4,1.4647222956021626,6.555000000000064,6.555000000000064,1.0,0.00109226682442571,0.9999999999999998,0.0
Track_9,9,9,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,6.194964403194422,1720.009483640465,1616.319576406094,0.0,0.0016604261788357025,0.003188705153985825,1.6422352621939026E-4,0.0017600429668263528,0.0010812781158394647,1.60565052429835,9.96468386558454,7.7795343579731435,0.6216920162003573,0.0010322736988722227,0.6216920162003572,8.060291280257614E-4
Track_17,17,17,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,5.354570899572647,1726.2023576928889,1687.716561859311,0.0,0.0014280306160022928,0.002902378011817724,4.7413528715706883E-4,0.0014200475152758814,9.828533346675568E-4,1.468623201052348,8.570012819730922,5.354570899572647,0.6248031376621405,8.922380095558316E-4,0.6248031376621402,0.0014313015369150062
Track_18,18,18,6,0,0,0,0,0,6001.280871500001,0.0,6001.280871500001,12.521800265050661,2043.6351338116756,1686.4663782345876,0.0,0.005235632847304493,0.009036259249123562,1.259666620001897E-4,0.006870551730322072,0.0038212769973632933,1.2657776474952698,31.420503256725535,13.064743825533277,0.3985232242379943,0.0020865212832341367,0.39852322423799424,0.0015252301911084644
Track_28,28,28,6,0,0,0,0,0,6001.280871500001,0.0,6001.280871500001,12.880742093841253,1840.5358275907236,1742.1162029118752,0.0,0.0024514009613952536,0.004763081475959288,0.0015136633023694745,0.0018401739315727819,0.0013279770866668331,1.5820317268371582,14.711545697998048,12.880742093841253,0.8755532802779566,0.002146332153026151,0.8755532802779568,4.8300850568043014E-4
Track_32,32,32,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,8.894157058079436,2026.80862458734,1768.6532624942477,0.0,0.0016914130114940753,0.003526884176495713,7.526247386062339E-4,0.0014657586910650135,9.811889229888872E-4,1.5613829748971122,12.180773462022724,8.894157058079436,0.7301799910990614,0.0012350359376775803,0.7301799910990613,7.634436675029004E-4
Track_40,40,40,6,0,0,0,0,0,6001.280871500001,0.0,6001.280871500001,5.09568088723316,2119.7968917667417,1816.1312012511091,0.0,0.0028502916532717314,0.00517768201054926,6.68724162029937E-4,0.002657964659415582,0.001627613187134423,1.4964539607365925,17.105400776975753,8.72415377563682,0.29789894745360535,8.490988834454452E-4,0.2978989474536053,0.0012450149675909974
Track_41,41,41,6,0,0,0,0,0,6001.280871500001,0.0,6001.280871500001,24.8811862078189,1778.0960118425226,1827.0024333406363,0.0,0.005235402273524272,0.008171543705525912,0.00140989471598468,0.006530768052906275,0.002750113463978304,1.476347029209137,31.41911951870883,24.8811862078189,0.7919122683563156,0.004145979290184418,0.7919122683563157,6.146696294703508E-4
Track_47,47,47,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,9.130684817092868,2150.847635441511,1871.4033505592593,0.0,0.0029570956248363388,0.0077145867309725774,8.623159140203576E-4,0.0022923772610079817,0.0025075337855394574,1.3922045230865479,21.295633690232,9.25948035602269,0.4287585403613034,0.0012678800038136253,0.42875854036130345,0.0011998472391480809
Track_48,48,48,6,0,0,0,0,0,6001.280871500001,0.0,6001.280871500001,20.435260850298985,1974.0680586414812,1881.691248643033,0.0,0.0035978311943510814,0.007257864702454303,0.0016877782298844084,0.0033012875898594,0.002263522286010285,1.4750811258951824,21.591595525545145,20.435260850298985,0.9464451492768057,0.003405149881810357,0.9464451492768057,4.8146843161470934E-4
Track_51,51,51,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,30.8698047282009,1937.901047032821,1894.176229886749,0.0,0.004521097448406019,0.007787369625233991,0.0010187698523859189,0.005348901757648972,0.002259145043451412,1.423860822405134,32.558850762367804,30.906251375944333,0.948123290760645,0.0042865577906322705,0.948123290760645,4.123428523128155E-4
Track_55,55,55,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,11.529930670040784,1688.6504980983598,1926.264185814748,0.0,0.0020113495829915335,0.004374066552766295,0.0012068594233635129,0.0013924521140569123,0.0013334505592731533,1.4571355779965718,12.070673778306594,11.529930670040784,0.9552019118238757,0.001921244967019668,0.9552019118238757,4.7051222523847503E-4
Track_57,57,57,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,10.108114765804038,1797.7356377928595,1963.0662644888532,0.0,0.0018936291071810622,0.004970213101174518,2.900267465532648E-4,0.001242732237875594,0.0017159879432946726,1.3669681719371252,13.637040166369598,10.108114765804038,0.741224975690233,0.0014036051889366006,0.741224975690233,7.229332315519153E-4
Track_59,59,59,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,6.833292540729441,1999.7286961363818,1968.9004351808412,0.0,0.001397682813502933,0.004638217178122329,2.1682774695732371E-4,8.82178451278195E-4,0.0016277838332018858,1.6614608934947424,10.065464559719345,6.833292540729441,0.6788849635490618,9.488658458980888E-4,0.6788849635490618,0.0012465316059632262
Track_65,65,65,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,5.431577238927832,1699.0551336709661,2002.0791401043195,0.0,0.001951133739120453,0.0036080488719341074,0.001229654208227032,0.0017556901752364053,9.595255111155756E-4,1.3653512597084045,11.709301586321848,5.431577238927832,0.463868591895583,9.050696601657684E-4,0.46386859189558305,0.0010820823264593156
Track_66,66,66,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,20.021483615684538,2098.4987836099676,2016.357368263601,0.0,0.0036477066877203443,0.007287249224282653,0.001781169764582392,0.0035103013835709428,0.001960794092617408,1.4437742573874337,26.269094843830477,20.021483615684538,0.7621687665567494,0.002780168106940621,0.7621687665567495,3.9969270077121227E-4
Track_68,68,68,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,3.7576764528772935,1993.2947215463946,2031.109539355879,0.0,0.0013686830380129117,0.002250260955391516,6.671195143126959E-4,0.0014143729543596812,6.803999974651104E-4,1.4255054394404094,8.213851335173395,4.202678175469442,0.4574804558229771,6.261457401073238E-4,0.457480455822977,0.0014623889776924671
Track_71,71,71,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,15.977316383753424,1715.42107572559,2078.8390082025594,0.0,0.002399164658630123,0.0055844056906899095,6.952973241277911E-4,0.0022529562663790616,0.0017094132210852449,1.4311789444514684,17.277673168098943,15.977316383753424,0.9247377368645643,0.002218598096787065,0.9247377368645643,4.620107428231041E-4
Track_74,74,74,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,4.402366315478528,1689.1704329768052,2094.8856159270626,0.0,9.667156030410658E-4,0.001632801833062063,9.38600117483526E-5,8.871492590639651E-4,6.242362113901843E-4,1.3823958039283752,5.801531856710937,4.402366315478528,0.7588282585031538,7.335711175234781E-4,0.7588282585031537,6.932696356107002E-4
Track_76,76,76,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,3.054016052681396,2042.3854538795456,2106.3014881510258,0.0,0.0017544121004844974,0.0046008172321887475,4.5887060056509565E-4,9.607086381433343E-4,0.0015866204017092544,1.3870841435023717,12.634463735238901,5.522159289760381,0.24172106681215216,4.2407836455726143E-4,0.2417210668121522,0.0011654422627963787
Track_79,79,79,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,5.829180770517266,1976.1249353415733,2133.0949265650324,0.0,0.0013119617448499369,0.0025560603581766816,1.2834583114655878E-4,9.800758423424672E-4,0.0010197061709724391,1.4823817610740662,7.87345092350769,5.916942728421085,0.7403590658212061,9.713227718102588E-4,0.740359065821206,0.001084276406607593
Track_81,81,81,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,7.127942408997408,1974.8315904374524,2157.8618409590517,0.0,0.004109838125541328,0.011208789188018606,9.732566425653533E-4,0.002202937502276776,0.003976417154664689,1.3644242797579085,29.597151513327113,7.8674500112617,0.24083204107624387,9.897807042670824E-4,0.2408320410762439,0.0015852477391728674
Track_84,84,84,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,6.985112522565138,1779.1966174443442,2182.821330262263,0.0,0.00206353198361766,0.0053536162407527114,7.585145186588116E-4,0.0017913334756270137,0.0017519214892314742,1.3418040786470686,14.860602025215737,9.98339345591973,0.47004236508808145,9.699474540145449E-4,0.4700423650880814,0.0010268755526853808
Track_85,85,85,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,15.48906998741789,1724.8719675389625,2179.789877721166,0.0,0.0023814613604223782,0.006438215198157546,4.889879566903183E-4,0.0023356060119317113,0.0022605984145335728,1.429966756275722,17.15018221022303,15.48906998741789,0.9031431734984735,0.0021508005706158593,0.9031431734984737,4.17777166569325E-4
Track_86,86,86,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,6.900000000000091,2152.455,2190.2325000000005,0.0,0.0011497545520270675,0.002012070466047311,5.748772760135713E-4,8.623159140205467E-4,5.748772760134768E-4,1.494559903939565,6.900000000000091,6.900000000000091,1.0,0.001149754552027067,0.9999999999999997,0.0
Track_90,90,90,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,9.208960379118817,1885.9037330450485,2225.213250968222,0.0,0.002781353348300787,0.008281444514556388,2.7284551145903666E-4,0.0023375780681865604,0.002930059975744928,1.4578977823257446,20.030019175247993,12.74477762438161,0.45975794124544567,0.001278749289290897,0.4597579412454458,0.0010739579660063016
Track_92,92,92,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,4.560946133814616,1919.3587953637752,2255.9194488201692,0.0,0.0014198094432932768,0.0030677751502109388,5.763524726569934E-4,0.0011418110907454799,9.907103820908907E-4,1.5427782932917278,8.520675253211007,5.045474666254718,0.5352798925291548,7.599954462179042E-4,0.5352798925291546,6.051138987316796E-4
Track_93,93,93,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,7.405735331514451,1722.9889752763904,2288.000768308562,0.0,0.0013547484301809727,0.0025203883073908456,7.012368681732921E-4,0.0013235913270034818,7.130467845821985E-4,1.4785136580467224,8.130225839739724,7.405735331514451,0.9108892517248369,0.0012340257838429434,0.9108892517248367,2.550530014825347E-4
Track_94,94,94,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,5.9241544551695515,2135.521119202632,2281.0957098476606,0.0,0.0011363312369847417,0.0024546858296594243,3.096595696980276E-4,9.815777035218829E-4,7.936873688572866E-4,1.4104118545850117,6.819442916204465,5.9241544551695515,0.8687153082684342,9.87148340832251E-4,0.8687153082684342,6.902857494668918E-4
Track_95,95,95,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,15.346736933945643,1786.7356901959688,2289.1516914200433,0.0,0.002995227416004033,0.004623254152541653,7.101058307135009E-4,0.004072126166117703,0.0015986055494950347,1.5601576055799211,21.570241196948853,17.413696498472508,0.7114772984604578,0.0021310363102132472,0.7114772984604578,6.947812996668866E-4
Track_96,96,96,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,7.510281120863117,1809.0560450799574,2289.333123413521,0.0,0.0013996050110073118,0.002030156638107473,4.835543074734301E-4,0.0014192937975797764,5.900814781224196E-4,1.540877064069112,8.399422780213728,7.510281120863117,0.8941425282883563,0.0012514463631471302,0.8941425282883562,4.330015971370582E-4
Track_105,105,105,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,9.732099118585031,2065.9157736961415,2372.290631652799,0.0,0.002288541525434033,0.003637119445297817,8.471256601320369E-4,0.002848253202778605,0.0012153993389815746,1.450365594455174,16.48101657626483,11.476612315960171,0.5905035695796055,0.0013513919398999519,0.5905035695796055,0.0010728447638605196
Track_115,115,115,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,9.591521800165507,1790.7818521772622,2454.9603740044645,0.0,0.0018912966424231578,0.0050683378077368176,4.122059560166984E-4,0.0015664556305228729,0.0018572922373277351,1.4684983094533284,11.350202362506275,9.591521800165507,0.8450529333159459,0.0015982457754502894,0.845052933315946,6.806459830519148E-4
Track_120,120,120,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,4.6046083959609065,2096.4539909671525,2454.262547217518,0.0,0.0017054144421129764,0.0060117369189266,2.638715734489628E-4,7.747780815904447E-4,0.0024212704206698858,1.5988784432411194,10.234671069432451,7.215624355208911,0.4499029196662056,7.672709367475412E-4,0.4499029196662056,8.288330555075476E-4
Track_121,121,121,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,4.7479047812173585,1930.96257011879,2470.497950179612,0.0,0.0030480986172461257,0.006208058771702632,2.1754613075039062E-4,0.0032330497046864286,0.0022396843956897306,1.5036147662571497,21.95099511134973,11.190477412483167,0.2162956511599085,6.592904752168675E-4,0.2162956511599085,0.0012947376719090213
Track_127,127,127,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,18.329178721412696,2030.655591326702,2527.436189801429,0.0,0.0032253488248260073,0.00428307067671091,0.0014136991510848083,0.003934065424870462,0.001241451368018056,1.353639046351115,19.35622420634332,18.329178721412696,0.9469397815409657,0.003054211111574149,0.9469397815409655,3.3610892075992696E-4
Track_130,130,130,6,0,0,0,0,0,6001.280871500001,0.0,6001.280871500001,15.017121409124307,1811.5503528645547,2529.1459607846086,0.0,0.002780998547543648,0.006429195545348467,8.526780045942443E-4,0.0021989261574597795,0.0021546856439690464,1.5323705275853474,16.68955338704298,15.02094165592063,0.899791687702256,0.0025023193765918218,0.8997916877022561,3.8454751266713173E-4
Track_137,137,137,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,5.484212829174022,1990.4285918958183,2558.0449923616534,0.0,0.0012890338127747036,0.0028489285339053194,2.9166294906022054E-4,9.918089574891458E-4,9.735353588773608E-4,1.5644200245539348,7.735853963321542,5.484212829174022,0.7089343794720844,9.138403861779695E-4,0.7089343794720844,6.76270749620554E-4
Track_138,138,138,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,10.6848513148112,1697.3369941241015,2559.3659174957984,0.0,0.0029157646754247066,0.004183887410930846,0.0017346737337960764,0.0033184060209723127,8.975886225426672E-4,1.4430940321513586,20.99798732690604,10.6848513148112,0.5088512126645599,0.0014836903909343489,0.5088512126645599,7.309873716691411E-4
Track_139,139,139,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,39.41197138774574,1817.0921572061688,2575.1597934820625,0.0,0.0055903608232394,0.007910657748249974,0.003477945011749832,0.0059065435199778865,0.0014934518515608802,1.4693856069019862,40.259190567947535,39.41197138774574,0.9789558814211154,0.0054727166071764,0.9789558814211156,2.4154287844409408E-4
Track_140,140,140,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,17.126963337424684,2009.3556163737808,2566.4005839936135,0.0,0.003052464482096253,0.007992191809301013,8.521697476934234E-4,0.0023438304300457055,0.0026688505332895184,1.56061247416905,21.982436048804875,17.126963337424684,0.7791203531492057,0.0023782372052662394,0.7791203531492055,0.0011093416702836637
Track_143,143,143,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,12.26800981714574,1906.0167040418764,2628.2502623635237,0.0,0.002269866837696038,0.00639167200795128,2.0593596523050213E-4,0.0015581281019255867,0.002362310898167791,1.5606651306152344,16.346530120700912,13.394304293972436,0.7504962659696068,0.0017035265859391157,0.7504962659696066,7.866118899246625E-4
Track_146,146,146,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,11.93004325935557,2012.5263782693453,2639.450368981241,0.0,0.00199831155249602,0.005984131041927681,4.1984226198320485E-4,0.0013301705188771174,0.0020780653498771178,1.54530211857387,14.390914674350201,12.406313571222894,0.8289982623980954,0.001656596804749241,0.8289982623980955,5.296276914257604E-4
Track_147,147,147,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,21.98219608860805,1835.948329733846,2656.5880359788002,0.0,0.003790949621881927,0.00587295480573339,0.0020394735094183586,0.00400946949203099,0.0014939791120388605,1.3805659328188216,27.300664140744203,22.36681503435654,0.805189059697682,0.003052431161404392,0.805189059697682,4.881814515941091E-4
Track_148,148,148,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,13.155154548676748,1994.1778171232095,2666.098408552819,0.0,0.0024957002525600206,0.0060656386983122005,5.51316798257716E-4,0.001869132702409285,0.0022045952006654887,1.3360938685280936,17.972877824023406,14.23556843689591,0.7319448046930437,0.001826714833932424,0.7319448046930437,0.0010163087629391865
Track_149,149,149,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,11.708388219257742,1990.4609545574815,2659.7980523422148,0.0,0.0018364984059791628,0.004719184441070061,2.784217903658524E-4,0.0019592264574773417,0.0016000566921873405,1.3480640649795532,13.22561130521159,11.708388219257742,0.8852814398563201,0.00162581795313907,0.8852814398563201,6.165425140599947E-4
Track_150,150,150,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,9.464741792336058,1717.234538118361,2675.6618183399855,0.0,0.0021835422710547413,0.00727157944511311,7.689794146073762E-4,0.0014233114948954755,0.002509035948953868,1.5199919428144182,15.724860556070988,10.433817244657822,0.6018967073562983,0.0013142669033211428,0.6018967073562984,0.0010401741038906895
Track_151,151,151,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,7.618935519424643,1681.5253163568104,2671.6664515375096,0.0,0.0016032403104117843,0.0037367022940876468,2.499013231626555E-4,0.0014718718020591943,0.001380865573026649,1.3628992353166853,11.545794488750357,7.618935519424643,0.6598883712028785,0.0010579596370844295,0.6598883712028784,4.5504901980388196E-4
Track_155,155,155,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,11.921601969528604,1710.5650027938193,2737.9553199765214,0.0,0.0022148536647521757,0.005559141090411497,6.438210262092832E-4,0.0018325018595293165,0.0017044000467198504,1.4809937817709786,15.950350717738688,11.921601969528604,0.7474194254719656,0.0016554246536135487,0.7474194254719656,6.37859849833019E-4
Track_163,163,163,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,24.570032986931277,1970.7368766448046,2846.1914163500437,0.0,0.004095634228743849,0.008045804787502199,0.0023297382495714707,0.003936141734019193,0.0020676978736753064,1.362897481237139,29.494861624345347,24.570032986931277,0.8330275727298524,0.0034117762403597903,0.8330275727298525,4.3187609407063684E-4
Track_166,166,166,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,9.731389391040247,1780.2926148980976,2860.2730690686526,0.0,0.0036491346612934346,0.00941066236881627,3.163845967123299E-4,0.0012004026872289215,0.004237383617797142,1.440896987915039,21.89948204034792,10.021035015678164,0.4443661897167703,0.0016215520652023603,0.44436618971677017,0.0011800295151963578
Track_167,167,167,6,1,0,0,0,1,7201.537045800001,0.0,7201.537045800001,21.48858877530895,2104.930695421607,2863.798496588825,0.0,0.003908053789881603,0.00888578899746255,7.976752383416923E-4,0.0035317639157956067,0.003416474021458308,1.306479314963023,24.410743083915385,21.48858877530895,0.880292283665388,0.002983889222348899,0.7635230687137747,5.53369786816855E-4
Track_177,177,177,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,30.03983450813845,1944.0167531949464,2940.669463994942,0.0,0.004575321873380097,0.007824539796512407,0.00207186122295016,0.00388205173818003,0.0021448559329927726,1.568450825554984,32.949349967605826,30.03983450813845,0.9116973335641563,0.004171308752158394,0.9116973335641562,5.840652012158396E-4
Track_180,180,180,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,9.841008219924264,2118.3453230273376,2959.060806984819,0.0,0.001818342465952761,0.005630938258855033,3.8252017237281363E-4,0.0013205725531778394,0.0019790006690309546,1.5736851181302751,13.094860630510134,10.373183092375852,0.7515168353144122,0.0013665149755306232,0.7515168353144122,0.0011324847049678864
Track_181,181,181,7,0,0,0,0,0,7201.537045800001,0.0,7201.537045800001,15.063850381220924,1865.8576148506904,2971.514857407471,0.0,0.002386674318981742,0.0070818973395279676,1.5287928072854734E-4,0.0018317068077489433,0.0025973589638856615,1.5837137188230241,17.187723524406504,15.063850381220924,0.8764308059662649,0.0020917548969641548,0.876430805966265,6.214906352870894E-4
Track_182,182,182,6,0,0,0,0,0,6001.280871500001,1200.2561743,7201.537045800001,4.876260451284931,1766.2073056025838,2984.7301985542163,0.0,0.0014770256140588386,0.0023802674998180205,7.163527839166388E-4,0.0014443467991073124,6.029301731512849E-4,1.5073919494946797,8.86404556436685,4.876260451284931,0.5501168079378254,8.125366160484544E-4,0.5501168079378252,0.0012484228266549109
