LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_30,0,0,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,8.725544871144931,93.0316931832771,465.31285908309553,0.0,4.693637512735764E-4,0.0016898808334111105,4.5496470193998536E-5,3.5303044057222486E-4,3.6512405680714073E-4,0.03359972061041523,27.871126313536735,9.302391528191714,0.31306753709867186,1.469425536146121E-4,0.31306753709867174,9.915802309902382E-4
Track_31,1,1,9,0,0,0,0,0,14395.309956800002,0.0,14395.309956800002,10.053844745725447,187.83824148621255,469.189912698709,0.0,0.0011948141814721982,0.0021599967466180807,1.4188252419211053E-4,0.0016553759873136535,8.183512425834432E-4,0.030490867586599454,17.19972048307258,10.643165484605392,0.5845353565844355,6.984111336189916E-4,0.5845353565844355,9.456076326355844E-4
Track_32,2,2,6,0,0,0,0,0,8997.068723,0.0,8997.068723,3.0042919502303156,34.27361798103089,51.66795817962784,0.0,0.0016322201707807795,0.0021303053121324244,0.0012073273348427904,0.001625776537005044,3.5417562181436576E-4,0.028833203328152496,14.685197047581468,5.386251784342758,0.2045796144577507,3.3391897324849584E-4,0.2045796144577507,4.917142548392229E-4
Track_33,3,3,17,0,0,0,0,0,28790.619913600003,0.0,28790.619913600003,18.504291345913252,76.07927193975384,96.11127417932937,0.0,7.599652643195694E-4,0.003427922231419271,1.5072598275962877E-4,5.949673102369032E-4,8.336915661379489E-4,0.030753472819924355,21.879871072563287,18.504291345913252,0.8457221381490263,6.427194482593363E-4,0.8457221381490264,4.234459297222894E-4
Track_34,4,4,32,1,0,0,0,1,57581.23982720001,0.0,57581.23982720001,5.57929986387083,52.39937458214037,172.36311753605983,0.0,3.9788801589834617E-4,0.002583610020391338,6.276820379200494E-5,2.4277058417132016E-4,4.6517625289231585E-4,0.02628588886000216,22.388433729947224,6.844803875312487,0.24920456389085607,9.689440311834518E-5,0.24352179318489478,8.22802250320713E-4
Track_35,5,5,9,0,0,0,0,0,14395.309956800002,0.0,14395.309956800002,13.057458690805259,148.54628577360145,280.7890039360781,0.0,0.00102907152999962,0.0038019623809925967,2.3193444944389632E-4,8.096720262366191E-4,0.0011822827566316326,0.03400143173833688,14.813803642062943,13.057458690805259,0.8814386234828546,9.070633928682603E-4,0.8814386234828547,6.167321820369287E-4
Track_36,6,6,18,0,0,0,0,0,30590.0336582,0.0,30590.0336582,18.901621739335997,83.81558432262324,336.6953036157303,0.0,0.0010232894856971857,0.004045805656536222,6.377728608077697E-5,8.334716136869062E-4,9.81931048074576E-4,0.03281552230732308,31.30245980955907,19.53053171769823,0.603838224035156,6.179013057172366E-4,0.6038382240351557,8.151837898297241E-4
Track_38,8,8,5,1,0,0,0,1,8997.068723,0.0,8997.068723,45.191535145851304,62.20228711360128,667.6174481396463,0.0,0.003920722224441656,0.011207955330006994,0.0011865278656913551,0.0016834078111405413,0.004863049115492009,0.023724590241909028,48.387754707353416,45.191535145851304,0.9339456938882021,0.005022917634309516,1.2811205045327643,2.3181695596274424E-4
Track_39,9,9,8,1,0,0,0,1,14395.309956800002,0.0,14395.309956800002,33.930909051103114,95.4200192594086,719.3391460364094,0.0,0.002793952898411693,0.0041256719231754875,0.0018130091682549954,0.0026182769982080255,7.463813875361078E-4,0.023417802760377526,39.749822247054716,33.930909051103114,0.8536115920271126,0.0023570808237494715,0.8436365641988545,2.365132222613053E-4
Track_52,22,22,6,0,0,0,0,0,8997.068723000004,32389.447402800004,41386.51612580001,3.8688950842596608,16.58436807866489,551.2271181937836,0.0,6.33169785045954E-4,0.0010668627034038493,2.9225822585095165E-4,4.03219426518536E-4,3.7499681768842543E-4,0.019995929362873237,5.69667206938559,4.341266630764542,0.6791500435932478,4.3001728711588715E-4,0.679150043593248,9.076973267425159E-4
