Treatment,Timepoint,Sample,Area,Centroid,Equivalent Diameter,Major Axis Length,Minor Axis Length,Perimeter,Solidity,Eccentricity,Roundness
GSK,TIMEPOINT 5 T 190 MIN,G1_T5.czi,268439,"(623.361590528947, 602.067274129318)",584.6256496,688.2060148,497.5899645,2004.920056,0.993096687,0.690822153,0.83919204
GSK,TIMEPOINT 5 T 190 MIN,G2_T5.czi,233309,"(607.7498081942831, 630.3852530335306)",545.0304991,731.1776061,411.4752663,2013.73124,0.974256078,0.826622426,0.723000073
GSK,TIMEPOINT 5 T 190 MIN,G3_T5.czi,203266,"(643.4315527436954, 545.8469099603475)",508.7300947,595.014551,437.0326455,1767.13831,0.987121087,0.678618768,0.817962739
GSK,TIMEPOINT 5 T 190 MIN,G4_T5.czi,211204,"(619.8200223480616, 623.1039942425333)",518.5684958,721.5487456,375.9126242,1928.386002,0.985985453,0.85356875,0.713713748
GSK,TIMEPOINT 5 T 190 MIN,G5_T5.czi,158484,"(604.6157466999823, 619.5280533050654)",449.2082991,581.1169942,347.7766989,1623.072293,0.980196183,0.801150859,0.755996108
GSK,TIMEPOINT 6 T 235 MIN,G1_T6.czi,230849,"(636.3543181906788, 631.7198471728273)",542.1494957,652.1378107,452.5922009,1866.469263,0.992800712,0.719962346,0.832714596
GSK,TIMEPOINT 6 T 235 MIN,G2_T6.czi,227401,"(614.7759200707121, 666.8216630533727)",538.0854446,707.9089095,413.427679,1941.873375,0.983028354,0.811744637,0.757810153
GSK,TIMEPOINT 6 T 235 MIN,G3_T6.czi,175182,"(579.6893801874622, 601.003647635031)",472.2802663,546.3907325,409.5916665,1612.427632,0.990137175,0.661855511,0.846718171
GSK,TIMEPOINT 6 T 235 MIN,G4_T6.czi,198691,"(581.6536430940506, 601.1095973144229)",502.9724032,686.3898344,371.8457871,1811.432683,0.988414088,0.840545216,0.760928168
GSK,TIMEPOINT 6 T 235 MIN,G5_T6.czi,140657,"(570.7039109322678, 600.5258607819021)",423.1903291,533.2076342,336.1544723,1478.077344,0.986291476,0.776239428,0.809052854
