LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID3023,3023,31,0.20309168100357056,519.2832937284925,155.23063638058875,0.0,12603.468820600001,7,10.0,1,,50.35706422018349,48.0,8.0,174.0,137223.0,34.546769552770336,0.613570272162022,1.1085604529984714
ID3190,3190,31,0.21234162151813507,517.6536952389853,150.82647960307062,0.0,7201.982183200001,4,10.0,1,,53.96403669724771,53.0,8.0,173.0,147052.0,34.982209006698994,0.6003508731991638,1.1573830822627234
ID3354,3354,31,0.21349111199378967,521.9924701428289,156.78444143484273,0.0,14403.964366400001,8,10.0,1,,51.46862385321101,48.0,8.0,157.0,140252.0,35.450771265391474,0.6591559616904678,1.153580314817909
ID2365,2365,31,0.2044418603181839,533.0798752763541,152.90646683790732,0.0,0.0,0,10.0,1,,53.749357798165136,55.0,8.0,169.0,146467.0,34.06705948010788,0.5512825203276143,1.1213777893778651
ID2527,2527,31,0.23016183078289032,525.5900028321508,153.0907721522978,0.0,1800.4955458000002,1,10.0,1,,56.16477064220184,58.0,9.0,163.0,153049.0,34.331314280525476,0.6696355528519772,1.3122614639137102
ID2687,2687,31,0.1996147483587265,518.8315283134505,151.21225301368065,0.0,10802.9732748,6,10.0,1,,48.99449541284404,47.0,8.0,153.0,133510.0,32.7795719434466,0.6571988158438669,1.1854852776644123
ID3519,3519,31,0.20647108554840088,521.0811281764911,156.0700509606643,0.0,16204.459912200002,9,10.0,1,,50.624587155963304,48.0,8.0,165.0,137952.0,36.69891262968653,0.6337682584076747,1.0702329648839195
ID2369,2369,33,0.18923074007034302,529.379977532206,173.05137403252047,0.0,0.0,0,10.0,1,,51.828623853211006,53.0,8.0,159.0,141233.0,34.82063842402623,0.43470701177298526,0.9019788796042211
ID3202,3202,33,0.22987012565135956,471.45469232211235,202.4939602078975,0.0,7201.982183200001,4,10.0,1,,51.176880733944955,48.0,8.0,152.0,139457.0,39.16813386582179,0.6823223545197991,1.0598668562225442
ID2531,2531,33,0.19932954013347626,518.7701296778038,177.30993840194816,0.0,1800.4955458000002,1,10.0,1,,58.68293577981651,53.0,9.0,180.0,159911.0,42.82862091692061,0.4253655008025669,0.8177936959902434
ID2217,2217,33,0.2458389550447464,493.44247894724475,183.23625674893515,0.0,3600.9910916000003,2,10.0,1,,54.36770642201835,51.0,8.0,169.0,148152.0,41.11355446273024,0.7022736128137855,1.0910960057583612
ID3369,3369,33,0.2724050283432007,461.2722192338343,216.56569101799687,0.0,14403.964366400001,8,10.0,1,,57.20110091743119,37.0,8.0,193.0,155873.0,49.83178678137332,0.7222959743994742,0.9627983369400226
ID2061,2061,33,0.22921697795391083,478.4169993115006,193.90583281221788,0.0,5401.4866374,3,10.0,1,,51.73614678899082,51.0,8.0,159.0,140981.0,36.99312001727904,0.6856184695014772,1.1376962887998763
ID2703,2703,33,0.23244750499725342,464.9502100227778,212.59108608682712,0.0,10802.9732748,6,10.0,1,,49.98275229357798,37.0,7.0,163.0,136203.0,42.05427140640299,0.6992418324001142,0.9781653181584844
ID3535,3535,33,0.2707720994949341,460.7187015124009,216.7061849866819,0.0,16204.459912200002,9,10.0,1,,56.84954128440367,36.0,8.0,193.0,154915.0,50.039552314758495,0.7214218717989108,0.9522380541568353
ID3700,3700,33,0.2732377350330353,460.20062116156237,216.34735663121637,0.0,18004.955458,10,10.0,1,,56.97761467889908,33.0,8.0,196.0,155264.0,50.79062733127666,0.7238707191474283,0.9421216829203606
