LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,23,1,0,0,1,1,21605.9465496,0.0,21605.9465496,7.827927074848188,636.5685041292512,696.4106016944763,0.0,0.0018644646016908713,0.007388488999556371,1.5193847543077145E-4,0.001866692054156524,0.0017274122947294,0.1709721499811048,75.45698128829589,26.050863262844373,0.10374026287826564,3.623042877051415E-4,0.19432081862888145,6.749920714043098E-4
Track_2,2,2,13,0,0,0,0,0,21605.9465496,0.0,21605.9465496,11.370990000871586,611.4256258280183,7.31632027722805,0.0,0.001639129593621017,0.004214877913707911,3.8322792528401774E-4,0.0016480309683824372,0.001063646535564008,0.43309995302787196,35.41494638764326,11.735619237947155,0.3210788427125524,5.262898329757324E-4,0.3210788427125524,6.71169187075057E-4
Track_3,3,3,11,0,0,0,0,0,18004.955458,0.0,18004.955458,24.273201694737505,282.54692357999295,12.386326967139718,0.0,0.0019795638595475253,0.008889256994201355,1.257276452694736E-4,7.925917288182417E-4,0.002808831072902348,0.2950485253875906,35.64195911741976,26.961102328966938,0.6810288293853675,0.0013481400579612311,0.6810288293853675,6.147797667664126E-4
Track_4,4,4,13,0,0,0,0,0,21605.9465496,0.0,21605.9465496,3.5919995881827913,209.1243279531616,20.24220227557992,0.0,0.0010512168941586696,0.002158714607077566,1.2211001617223833E-4,0.001331530901718515,6.874670414093074E-4,0.2127511902497365,22.712536027228737,11.49654387334653,0.15815052902399593,1.662505079301555E-4,0.1581505290239959,5.807923738244926E-4
Track_6,6,6,13,0,0,0,0,0,21605.9465496,0.0,21605.9465496,34.88158410204826,294.1517416953179,57.16480121912545,0.0,0.0021496232552892813,0.0038351621433649263,2.676122306143908E-4,0.0021412287840828523,0.0012843292760286538,0.2821681270232567,46.44464515555738,34.88158410204826,0.7510356465254309,0.001614443691322287,0.7510356465254311,4.0636723499944946E-4
Track_7,7,7,13,0,0,0,0,0,21605.9465496,0.0,21605.9465496,31.97393903891457,577.327627574563,84.78411472195567,0.0,0.0020644054921974842,0.005030941361603703,2.9901657563744405E-4,0.0017837549344380298,0.0018458598376222932,0.24039742350578308,44.60343472111952,31.97393903891457,0.7168492569872664,0.0014798675432021984,0.7168492569872663,4.446067523935298E-4
Track_8,8,8,13,0,0,0,0,0,21605.9465496,0.0,21605.9465496,26.72702420038725,263.4766694752673,79.07332486256072,0.0,0.0028338212608937864,0.007850514215047136,2.4710792361693027E-4,0.0021545413947825546,0.0023979205281591826,0.43282365569701564,61.227390693991225,26.72702420038725,0.436520712338803,0.0012370216754462005,0.436520712338803,7.564791160812194E-4
