LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID75111,75111,91,0.06998400390148163,236.1508017583215,1041.6343943322702,0.0,25191.706395800004,14,10.0,1,,21.820550458715598,22.0,7.0,36.0,59461.0,7.167014535174143,0.4882007936746467,1.99753483583199
ID76647,76647,91,0.051906321197748184,250.02357213397238,1041.714713157666,0.0,41386.3747931,23,10.0,1,,17.87376146788991,18.0,7.0,29.0,48706.0,5.071463378760836,0.4250516116659759,2.1024405937560764
ID77158,77158,91,0.051964666694402695,226.9897780171075,1043.06422282475,0.0,48584.0051919,27,10.0,1,,17.668990825688073,18.0,7.0,28.0,48148.0,5.341956698382171,0.425692604251572,1.9752023148977478
ID73515,73515,91,0.08078252524137497,195.65245840366782,1045.877833366649,0.0,7197.630398800001,4,10.0,1,,23.65211009174312,25.0,7.0,43.0,64452.0,8.799032960794314,0.5254179853745029,1.8517442944005433
ID77996,77996,91,0.05436883121728897,225.94701596958822,1041.9556330448693,0.0,53982.22799100001,30,10.0,1,,17.788990825688074,18.0,7.0,30.0,48475.0,6.148184483190373,0.4296265715055435,1.7390134401280934
ID77491,77491,91,0.05489478260278702,226.52230967280943,1042.7283526097733,0.0,50383.41279160001,28,10.0,1,,18.276697247706423,19.0,7.0,30.0,49804.0,5.8391738207279476,0.4358067019302823,1.9000902893204032
ID74295,74295,91,0.07197174429893494,204.1597525848822,1041.397980396881,0.0,16194.668397300002,9,10.0,1,,22.74935779816514,23.0,9.0,36.0,61992.0,6.465422868564968,0.5030197106261101,2.3551714550936325
ID76471,76471,91,0.051116328686475754,248.66852784501805,1041.554119517894,0.0,39586.96719340001,22,10.0,1,,17.826422018348623,18.0,7.0,29.0,48577.0,4.937007661086166,0.4247568290963069,2.152930453466077
ID74616,74616,91,0.06908463686704636,209.9193133478038,1042.4243937052092,0.0,17994.075997000004,10,10.0,1,,22.006238532110093,23.0,9.0,34.0,59967.0,6.362890703147673,0.4976178331285553,2.2983506150832627
ID75960,75960,91,0.05632650852203369,255.03591286194234,1040.635419755068,0.0,32389.336794600003,18,10.0,1,,18.94862385321101,19.0,8.0,31.0,51635.0,5.31506625291969,0.4424789537418737,2.187167889067286
ID78328,78328,91,0.10474248975515366,265.9898942367503,1028.510614100737,0.0,59380.45079010001,33,10.0,1,,25.69651376146789,22.0,7.0,69.0,70023.0,14.260092091615487,0.5618728676841327,1.2965051689142413
ID75450,75450,91,0.06557171046733856,242.21776247973452,1048.862725641324,0.0,28790.521595200004,16,10.0,1,,21.766605504587154,22.0,8.0,36.0,59314.0,6.595774720480728,0.44806335128397634,2.0422398613528157
ID73980,73980,91,0.07721297442913055,203.9380578546326,1044.0296375267405,0.0,10796.445598200002,6,10.0,1,,23.232660550458714,24.0,8.0,40.0,63309.0,7.850205839473496,0.515255055102366,2.0127248932370665
ID74943,74943,91,0.0689995139837265,227.49106395226028,1041.4385840168013,0.0,23392.298796100004,13,10.0,1,,21.769908256880733,22.0,8.0,36.0,59323.0,6.675858177578779,0.487108862954654,2.136302566552837
ID73214,73214,91,0.07782526314258575,185.71927968247635,1048.1656058649974,0.0,5398.222799100001,3,10.0,1,,22.82605504587156,24.0,7.0,41.0,62201.0,8.72443927763595,0.5169629263901926,1.7832316500058267
ID76990,76990,91,0.054163284599781036,234.43971671274718,1044.8821439657843,0.0,44985.1899925,25,10.0,1,,17.92256880733945,18.0,6.0,30.0,48839.0,5.957653489603405,0.4296092003889798,1.808053391769086
ID76291,76291,92,0.0577046237885952,834.6829756993626,972.1447607982001,0.0,37787.5595937,21,10.0,1,,18.6502752293578,18.0,7.0,32.0,50822.0,6.380026661063422,0.4438213431610268,1.7971630188519203
ID77314,77314,92,0.05409053713083267,839.3704579771525,974.4415225882647,0.0,46784.59759220001,26,10.0,1,,17.698715596330274,17.0,6.0,30.0,48229.0,6.221075374852734,0.43044295769113994,1.712187593553493
ID75271,75271,92,0.06567936390638351,836.1754666511656,980.714240071171,0.0,26991.113995500004,15,10.0,1,,20.907155963302753,21.0,7.0,36.0,56972.0,6.689777593510131,0.4759587800786913,2.0156187466515805
ID75782,75782,92,0.05622467026114464,832.056673544581,975.6195578080489,0.0,34188.7443943,19,10.0,1,,18.662018348623853,19.0,8.0,29.0,50854.0,5.785118094960973,0.439380606962914,1.9694348390743293
ID74441,74441,92,0.06493707746267319,840.3578567784652,959.6793121631856,0.0,19793.483596700004,11,10.0,1,,20.280366972477065,20.0,7.0,35.0,55264.0,7.060255650512774,0.47532936172663937,1.8509344309150086
ID76808,76808,92,0.05649649724364281,835.473270883035,979.0308453676643,0.0,43185.78239280001,24,10.0,1,,18.398899082568807,18.0,7.0,31.0,50137.0,6.242099167594094,0.44202341533771095,1.8070248810669893
ID78154,78154,92,0.06115182116627693,836.3673223646646,975.6019574331248,0.0,57581.04319040001,32,10.0,1,,18.92623853211009,18.0,7.0,34.0,51574.0,7.349472643955945,0.45593107054932797,1.6128593724270797
ID74765,74765,92,0.06395479291677475,834.2180638330212,968.6177292593214,0.0,21592.891196400004,12,10.0,1,,20.13834862385321,20.0,7.0,35.0,54877.0,6.975119475100544,0.47293678272215023,1.854048900870905
ID74124,74124,92,0.06418151408433914,850.0671311688648,960.5553862809967,0.0,14395.260797600002,8,10.0,1,,20.12,21.0,7.0,35.0,54827.0,7.071840291616646,0.47302788230781645,1.8272640130031275
ID73359,73359,92,0.06739813834428787,850.1111785178684,1014.8382850117854,0.0,3598.8151994000004,2,10.0,1,,20.70422018348624,21.0,7.0,37.0,56419.0,7.526107313065084,0.47588891153503954,1.7740684909234399
ID72912,72912,92,0.05670870095491409,836.7578290866293,1041.7932133050851,0.0,0.0,0,10.0,1,,19.04954128440367,18.0,9.0,32.0,51910.0,5.72985560033256,0.41642867273375317,1.9548649310925659
ID77648,77648,92,0.05767953395843506,841.3098351825308,974.6079210029822,0.0,52182.8203913,29,10.0,1,,18.780550458715595,19.0,7.0,32.0,51177.0,6.510377155749009,0.4416043028663792,1.767337085968525
