LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID3584,3584,0,0.07952271401882172,585.9770519842483,2499.1191135463346,0.0,5398.222799100001,3,10.0,1,,29.362935779816514,29.0,13.0,44.0,80014.0,8.2099393692675,0.37021512511666554,1.932657612746487
ID6016,6016,0,0.0813177227973938,624.6343485297937,2513.8211284519953,0.0,14395.260797600002,8,10.0,1,,29.958532110091742,29.0,15.0,46.0,81637.0,7.920222498331002,0.37415975376809285,2.0598376407930363
ID19648,19648,0,0.07346144318580627,624.5983480727219,2491.4561231955063,0.0,64778.67358920001,36,10.0,1,,29.131743119266055,29.0,15.0,44.0,79384.0,6.7882733445307855,0.3386957192620394,2.1715257250977693
ID10945,10945,0,0.09244196116924286,631.4308100683427,2489.123682747607,0.0,28790.521595200004,16,10.0,1,,32.737981651376145,33.0,12.0,49.0,89211.0,9.125630726679825,0.40076410405453944,2.052781935058792
ID2114,2114,0,0.08048108220100403,583.7336528280589,2497.7847180311637,0.0,3598.8151994000004,2,10.0,1,,29.54678899082569,30.0,14.0,49.0,80515.0,8.441456080850557,0.37549210814614714,1.911021758117948
ID8971,8971,0,0.08287524431943893,630.9034002443645,2490.6419082743714,0.0,25191.706395800004,14,10.0,1,,30.489908256880735,30.0,12.0,47.0,83085.0,7.940790722403604,0.38065032958468104,2.117214560503552
ID15820,15820,0,0.07608640938997269,633.216579733775,2492.9917292399905,0.0,50383.41279160001,28,10.0,1,,28.264954128440365,29.0,12.0,47.0,77022.0,8.934841286240324,0.3502624878603574,1.6412202387770944
ID4558,4558,0,0.08177826553583145,623.7415694524774,2514.0114119973696,0.0,12595.853197900002,7,10.0,1,,29.877798165137616,29.0,15.0,45.0,81417.0,8.108395306427632,0.3741230860547468,2.006469411017843
ID18702,18702,0,0.07634195685386658,629.0509691969709,2492.4502406670463,0.0,61179.85838980001,34,10.0,1,,29.7251376146789,29.0,17.0,44.0,81001.0,6.719498663466224,0.35486754515812086,2.3173222960400137
ID12432,12432,0,0.0722181648015976,634.174459834128,2495.048448313803,0.0,37787.5595937,21,10.0,1,,26.86422018348624,27.0,11.0,46.0,73205.0,9.6696491702811,0.3343125329437106,1.3921582624428517
ID17744,17744,0,0.07520361244678497,630.3888446780475,2495.363126129251,0.0,57581.04319040001,32,10.0,1,,29.242935779816513,29.0,12.0,43.0,79687.0,6.908335654134908,0.35396525386321,2.213250897588565
ID6994,6994,0,0.08049006015062332,627.9366564737418,2510.8218692901164,0.0,16194.668397300002,9,10.0,1,,29.91302752293578,29.0,16.0,45.0,81513.0,7.653192866924694,0.37417064693976315,2.1285151980324657
ID5524,5524,0,0.08359422534704208,605.5549130296622,2511.2088962927864,0.0,8997.037998500002,5,10.0,1,,30.300917431192662,30.0,16.0,47.0,82570.0,8.404758103373391,0.378873430662625,1.9812090459688079
ID10452,10452,0,0.07534535974264145,633.8880383305234,2493.0947206349706,0.0,34188.7443943,19,10.0,1,,27.694311926605504,28.0,12.0,45.0,75467.0,9.626855368495262,0.346212542554269,1.4796714452275377
ID13397,13397,0,0.0714895948767662,633.0830640978577,2491.640951800174,0.0,41386.3747931,23,10.0,1,,26.984587155963304,27.0,12.0,42.0,73533.0,8.342946422870373,0.34018890613857256,1.6420275796573045
ID16789,16789,0,0.08016493916511536,630.9829668597927,2495.5100591241603,0.0,53982.22799100001,30,10.0,1,,30.071926605504586,30.0,11.0,44.0,81946.0,7.575413859902087,0.36988734073090657,2.1437271086284
ID8472,8472,0,0.08550997823476791,632.5275127861811,2488.488708716017,0.0,26991.113995500004,15,10.0,1,,30.45211009174312,31.0,12.0,48.0,82982.0,9.445162082887494,0.3808716634748299,1.7785386890054204
ID3098,3098,0,0.07919302582740784,563.2599440543584,2498.2099489304564,0.0,0.0,0,10.0,1,,29.417247706422017,30.0,13.0,81.0,80162.0,10.724705400692518,0.36316861178112475,1.4615221116410118
ID14365,14365,0,0.06794692575931549,633.397312647637,2493.316208688013,0.0,44985.1899925,25,10.0,1,,26.10238532110092,26.0,11.0,42.0,71129.0,8.243861118656039,0.32651429714803337,1.5587260469379929
ID6501,6501,0,0.07645989209413528,628.7961743141756,2504.7738457386768,0.0,17994.075997000004,10,10.0,1,,28.972477064220183,28.0,15.0,44.0,78950.0,7.278368363021514,0.3638589765516105,2.123954548404388
ID15333,15333,0,0.07085983455181122,633.1206558714151,2493.203524622695,0.0,48584.0051919,27,10.0,1,,26.927339449541286,27.0,11.0,42.0,73377.0,8.336921691687014,0.3360115374512888,1.6246570511986311
ID9958,9958,0,0.06939223408699036,634.293694464978,2491.2306137550677,0.0,32389.336794600003,18,10.0,1,,25.805504587155962,26.0,11.0,44.0,70320.0,9.531979512053411,0.3259082992202525,1.3308869965219983
ID4072,4072,0,0.07996013015508652,620.3759668282826,2514.525976304884,0.0,10796.445598200002,6,10.0,1,,29.56366972477064,29.0,15.0,46.0,80561.0,7.851648612922343,0.37050392699521767,2.03582298525891
ID7976,7976,0,0.08288590610027313,631.080235742552,2500.8449649875965,0.0,21592.891196400004,12,10.0,1,,30.35302752293578,30.0,11.0,47.0,82712.0,8.0885424014606,0.38090823403756685,2.070223749657315
