LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2560,2560,0,0.07407094538211823,649.0340564771243,3365.6135180004926,0.0,1799.4075997000002,1,10.0,1,,29.74605504587156,29.0,15.0,46.0,81058.0,7.247316331796332,0.3428653754496769,2.0959132765961295
ID9794,9794,0,0.061552684754133224,634.0130904994913,3368.3121381276046,0.0,41386.3747931,23,10.0,1,,27.59045871559633,27.0,17.0,40.0,75184.0,4.843018497475475,0.3009574980000732,2.6358145327801674
ID6853,6853,0,0.06971847265958786,630.49681823821,3361.783511106268,0.0,26991.113995500004,15,10.0,1,,29.946422018348624,29.0,18.0,43.0,81604.0,5.512706508153352,0.3201078418642399,2.6344925035586466
ID4870,4870,0,0.06121644005179405,624.4851160128762,3367.5131357513187,0.0,14395.260797600002,8,10.0,1,,28.028256880733945,28.0,18.0,39.0,76377.0,4.600039273127062,0.2992530206800583,2.806786332070805
ID13639,13639,0,0.11741891503334045,619.1644205008129,3372.283162211655,0.0,61179.85838980001,34,10.0,1,,39.42788990825688,37.0,17.0,69.0,107441.0,12.662440563168538,0.3944831349651093,1.7616972878394266
ID2888,2888,0,0.06781294196844101,645.3987854576172,3373.066357940747,0.0,3598.8151994000004,2,10.0,1,,28.344587155963303,28.0,15.0,41.0,77239.0,6.16135916756081,0.32945490932429133,2.280058430843309
ID10122,10122,0,0.06358455866575241,633.9676146971128,3363.256837060271,0.0,43185.78239280001,24,10.0,1,,28.151559633027524,27.0,19.0,40.0,76713.0,4.9610230382191824,0.30599167811710065,2.6590739655170985
ID7179,7179,0,0.06288478523492813,630.9327274661139,3361.782290313076,0.0,25191.706395800004,14,10.0,1,,28.47412844036697,28.0,19.0,41.0,77592.0,4.661422979149744,0.3034143118750365,2.843907716323206
ID13326,13326,0,0.1202392429113388,617.0468189668386,3372.0339991872406,0.0,62979.26598950001,35,10.0,1,,38.93651376146789,36.0,16.0,72.0,106102.0,13.905386411331177,0.3997250400702467,1.599273055836641
ID3219,3219,0,0.08593884110450745,647.0497425834743,3368.5635194127767,0.0,0.0,0,10.0,1,,31.94348623853211,33.0,14.0,51.0,87046.0,9.501164950613772,0.37299900598157076,1.8267238607852778
ID5203,5203,0,0.06407378613948822,626.4641922956307,3363.474092603951,0.0,16194.668397300002,9,10.0,1,,28.910091743119267,28.0,19.0,40.0,78780.0,4.738885771389946,0.3059460649202247,2.8583990293833628
ID7508,7508,0,0.07219893485307693,630.6137375553975,3361.2094293353607,0.0,28790.521595200004,16,10.0,1,,30.84110091743119,30.0,18.0,43.0,84042.0,5.556814970838572,0.3263816648988429,2.7314369223107975
ID13012,13012,0,0.06427470594644547,642.1318001768822,3353.826630556941,0.0,59380.45079010001,33,10.0,1,,28.471192660550457,28.0,17.0,42.0,77584.0,5.4945904722823125,0.2992452668070152,2.386912361252871
ID10453,10453,0,0.06234387680888176,635.5572363079085,3358.4686362625253,0.0,44985.1899925,25,10.0,1,,27.63889908256881,27.0,17.0,40.0,75316.0,5.038423461311491,0.30301771849186826,2.5513719284071437
ID10776,10776,0,0.060919031500816345,637.4593665860767,3353.603107179531,0.0,48584.0051919,27,10.0,1,,27.335412844036696,27.0,16.0,39.0,74489.0,5.078005054934543,0.29721018113596587,2.46669718395631
ID12699,12699,0,0.06645169109106064,640.184702540279,3353.338401332376,0.0,57581.04319040001,32,10.0,1,,29.02788990825688,28.0,17.0,42.0,79101.0,5.707244808708018,0.3049554003105279,2.3771666059502414
ID5532,5532,0,0.06147567555308342,629.4187383419161,3362.9095434367064,0.0,17994.075997000004,10,10.0,1,,28.10348623853211,28.0,17.0,40.0,76582.0,4.582688522819952,0.30095488088952177,2.837324508218903
ID7838,7838,0,0.06395922601222992,630.3719497902731,3362.8621636534517,0.0,30589.929194900003,17,10.0,1,,28.468990825688074,28.0,18.0,40.0,77578.0,4.8909033953155525,0.30741438225149115,2.7373095157867695
ID3552,3552,0,0.063811294734478,628.5172490956223,3372.352876799805,0.0,12595.853197900002,7,10.0,1,,28.655045871559633,28.0,17.0,40.0,78085.0,4.970904446169376,0.30442947659132535,2.6906783582012537
ID11105,11105,0,0.0656236857175827,635.9697737583365,3356.1403914090083,0.0,46784.59759220001,26,10.0,1,,28.4748623853211,28.0,17.0,42.0,77594.0,5.5112196360845145,0.3095452283457053,2.442572828956996
ID12385,12385,0,0.0607326440513134,639.0150400139661,3355.5360876735635,0.0,55781.6355907,31,10.0,1,,27.351926605504588,27.0,16.0,40.0,74534.0,5.235899965885427,0.2917323741368581,2.3596014784325505
ID8162,8162,0,0.06161053478717804,632.6576815106739,3359.898230561471,0.0,34188.7443943,19,10.0,1,,27.633394495412844,27.0,17.0,40.0,75301.0,4.85376313357703,0.30176639510281544,2.6395109788754008
ID11426,11426,0,0.06682232022285461,637.848524527997,3351.437664016398,0.0,50383.41279160001,28,10.0,1,,28.931376146788992,28.0,17.0,45.0,78838.0,5.809511901933846,0.308171744686537,2.3463213595196506
ID5860,5860,0,0.06200467050075531,630.1359497094395,3360.7007967965496,0.0,19793.483596700004,11,10.0,1,,28.101284403669723,28.0,17.0,39.0,76576.0,4.596335668795826,0.3038718734842167,2.8497057248129143
