LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinment ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_5,5,5,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.864973364254453,1528.5747409483956,1401.8203526427249,0.0,0.0018075303378924721,0.0038769276151367983,5.853067132595168E-4,0.001724853301370403,0.0010994809087749398,1.4066210644585746,13.015325291018994,9.0141889899997,0.6811180793438623,0.0012311415921010833,0.6811180793438624,0.0010175201532901248
Track_13,13,13,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.631632177912248,1537.1183818882016,1460.5633111098537,0.0,0.0022606381819647854,0.006852185260189272,3.717581149202104E-4,0.0013617643793478432,0.002444645553839463,1.4178347757884435,16.277979233187178,8.01975784555256,0.3459662957691089,7.821046178885696E-4,0.3459662957691089,0.0010509491253104183
Track_24,24,24,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.249085697238314,1609.059643211364,1650.7655463878698,0.0,0.0019654312909029915,0.003041383320755399,2.48261058503447E-4,0.00226693553842669,0.0010570275471717698,1.433679120881217,14.152308844827578,8.249085697238314,0.5828791462711196,0.0011456089128960803,0.5828791462711197,0.0011302698782499306
Track_30,30,30,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.605616449563033,1736.9946465134449,1687.448333495942,0.0,0.0017529696381077021,0.003379156178277669,5.448325545767581E-4,0.0018344191999272621,0.0010774088015937575,1.475736175264631,12.622454841811267,8.648405670969025,0.6817704287645655,0.0011951228617839535,0.6817704287645656,0.0010331490663885111
Track_33,33,33,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,3.044117718270071,1673.3481562706127,1714.6337288839454,0.0,0.0012626787333220673,0.0030578870299591563,4.782216448392702E-5,0.001582771679002906,0.0011225336862865272,1.539103627204895,9.092060093110414,5.4104504503762865,0.33481055856381514,4.227581719902119E-4,0.33481055856381514,0.00105029449970414
Track_38,38,38,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,10.42636464861364,1616.2651728849357,1786.5676261622007,0.0,0.0016306032938388933,0.0026793262491166775,3.2709552723276944E-4,0.0024732795039631083,0.0010535043021888814,1.4798440762928553,11.741342230894688,10.51820561480739,0.888004492465863,0.0014479830503585712,0.8880044924658631,6.270368259184613E-4
Track_40,40,40,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,12.582443520251893,1608.0504218487272,1762.6091316836362,0.0,0.0029070593461896855,0.011675176807321304,1.1177226079427321E-4,0.0017288975607255722,0.004338439174360698,1.449700048991612,20.932607457682728,13.887611734236732,0.6010929859401657,0.0017474129827064237,0.6010929859401656,0.0011359289788000237
Track_44,44,44,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,2.327525600717641,1770.5227331504045,1813.6144281294257,0.0,0.0018348583708148055,0.003573144220644391,5.181184798908987E-4,0.0020830897911924204,0.0011445845798129365,1.6424912043980189,13.212103862637639,3.4940985196849494,0.176166159827098,3.2323995301304973E-4,0.17616615982709802,0.001500705057239524
Track_45,45,45,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,10.132291929461397,1631.513935708219,1805.3465923687147,0.0,0.0018021889362828513,0.00395057314839567,8.005974043232433E-4,0.001604472842645749,0.0011414559230475843,1.506343858582633,12.976863928572238,10.132291929461397,0.7807966535853311,0.0014071430905781578,0.7807966535853311,5.546446122933889E-4
Track_48,48,48,6,0,0,0,0,0,6000.5102995,1200.1020599,7200.6123594,1.3799999999998818,1523.5200000000002,1798.0250000000003,0.0,6.899413205481992E-4,0.0011499022009135388,2.87475550228432E-4,8.624266506852965E-4,3.856889233079012E-4,1.36532324552536,4.1400000000001,2.4149999999999636,0.33333333333329673,2.299804401827078E-4,0.3333333333332967,0.001963328427574466
Track_52,52,52,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.794905352799958,1584.1170019084016,1821.9607370905705,0.0,0.002246734272282095,0.004830195999566865,1.2593213125530156E-4,0.0028589252944717478,0.001734132589048973,1.4692275864737374,16.17786256928202,9.743910048062377,0.5436382782419865,0.001221410751450701,0.5436382782419866,0.0016897710247962268
Track_55,55,55,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,11.12676093092549,1672.8472169755532,1856.4742965777102,0.0,0.0020955103993851106,0.0037394888130585216,6.932215467598675E-4,0.0025598655560044046,0.0011125557879963976,1.4233237845557076,15.08895808106366,11.12676093092549,0.7374108186362683,0.0015452520390713883,0.7374108186362685,0.0012191008593437117
Track_57,57,57,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,15.122080825608576,1763.4143233439697,1881.13189268454,0.0,0.00224057216453776,0.004832259709172909,9.971947855880803E-4,0.0020568044670378326,0.001328124787253517,1.4709184850965227,16.133491620098205,15.122080825608576,0.9373098633385925,0.002100110389343142,0.9373098633385925,3.0330491370772326E-4
Track_60,60,60,6,0,0,0,0,0,6000.5102995,1200.1020599,7200.6123594,8.680334008229835,1768.2077427594656,1855.4410095389765,0.0,0.002133950775137769,0.0053942886344010375,3.297406498645809E-4,0.001741885291322838,0.0019924965389995193,1.4499834179878235,12.804793604840192,8.680334008229835,0.6778972216271164,0.0014465993015549251,0.6778972216271164,9.184529849040314E-4
Track_64,64,64,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.843732437321538,1572.5959669310403,1887.1144719970184,0.0,0.0014488611670195825,0.0031423552938395012,5.307669524140129E-4,8.931303674925677E-4,0.0011857078116400788,1.5361241102218628,10.432687626295913,7.843732437321538,0.7518419719144248,0.0010893146368422374,0.7518419719144246,4.0961855514025077E-4
Track_65,65,65,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.730147273441388,1538.0910079414905,1902.408544867021,0.0,0.0013522000365318715,0.003405614200385452,5.248615464285364E-4,0.001173401401369332,0.0010514661315342098,1.443948609488351,9.736668295432525,6.730147273441388,0.691216653297977,9.346631838409624E-4,0.691216653297977,6.382577757655623E-4
Track_67,67,67,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,13.377369721134835,2042.4438684060328,1922.146835047266,0.0,0.0022929230697539384,0.0037505647796035693,0.0010697656441565652,0.002195182834115281,0.0010893628620644651,1.4528958116258894,16.510450195223598,13.377369721134835,0.8102365206858412,0.0018578100102377294,0.8102365206858412,3.755384979617024E-4
Track_68,68,68,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.909394870603234,1961.7403781086905,1920.9954489715033,0.0,0.0012871616043622462,0.004042502520693773,3.0986313400923666E-4,9.58091427251584E-4,0.001445253452180816,1.3382232359477453,9.268351756915923,5.909394870603234,0.6375885406155113,8.206794888616447E-4,0.6375885406155113,0.0017843029825110363
Track_69,69,69,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.213410610417794,1632.924270474762,1926.5821156880156,0.0,0.001643419074336577,0.004237128121479093,5.17089259451081E-4,0.0011176000206146745,0.0015336971109642065,1.5643832853862218,11.833623698341665,8.300507899014223,0.6940740063898433,0.0011406544611022758,0.6940740063898434,0.0010314139670704475
Track_74,74,74,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,13.073128697548274,1809.5755429612832,1937.3336091200945,0.0,0.0018678843110824447,0.002994538544992466,6.493338943043595E-4,0.0022314110113613467,9.412249499118475E-4,1.565719587462289,13.449910856309607,13.073128697548274,0.9719862709287342,0.0018155579060553134,0.9719862709287344,3.781907662303316E-4
Track_75,75,75,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.2325776443305285,1541.0112112825555,1962.6569717784228,0.0,9.806852256497257E-4,0.003921172773665205,6.840740520141655E-5,6.050229366596489E-4,0.0014599633518460082,1.4320843049458094,7.061534156494394,5.30666127520674,0.740997285911051,7.266850905395134E-4,0.7409972859110511,0.0017553446465378634
Track_76,76,76,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,15.943944751562787,2048.019495383683,1954.6394263044765,0.0,0.0027674197118540906,0.010003642118020328,6.671287893338766E-4,0.001680019023708244,0.003590971595641213,1.5982241119657243,19.927116580823757,16.220615635866064,0.8001129860858017,0.002214248449404286,0.8001129860858021,8.394743300123818E-4
Track_77,77,77,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,4.013122319312274,2140.0012851803044,1928.961722376707,0.0,0.0010638037033846805,0.0029105200686522364,4.9733546885679916E-5,0.001260946222279657,0.0010623570091908253,1.3603321995053972,7.6600380945672235,4.914348770142183,0.5239037025362218,5.573306989749789E-4,0.5239037025362219,0.0016943850683838828
Track_78,78,78,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,13.517464455775505,1783.3596618220122,1929.1154563452503,0.0,0.0023400580327408277,0.004196027100379622,7.258518447065099E-4,0.0026095515386181114,0.001203995864950886,1.4437403167997087,16.849850792266857,13.517464455775505,0.8022305136363147,0.0018772659575444586,0.8022305136363148,9.510009634757207E-4
Track_79,79,79,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.236710503008248,1527.0852409462766,1928.254086982759,0.0,0.0012654026528925726,0.0052259175263147046,1.7289701254995235E-4,5.561169973511631E-4,0.0019461860909733143,1.414600099836077,9.111673982035807,7.437653765384557,0.7942240380061711,0.0010050132046840604,0.7942240380061711,0.0015994729470894104
Track_81,81,81,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,2.873325057595219,1541.0456945110066,1995.8902595222332,0.0,0.0017213692049944966,0.003681131997517903,6.172274160492196E-4,0.0019508593498437233,0.0011096190467883907,1.5235997949327742,12.394912372573923,4.028423980334242,0.231814874621703,3.9903898643345976E-4,0.23181487462170297,0.0017612421239726044
Track_82,82,82,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,3.2017429057773503,1607.2439524779127,1971.1717355641888,0.0,0.0021681086840624904,0.0032252048958619117,8.939398409582243E-4,0.0029855623033485383,0.0010628053651422478,1.4732960973467146,15.61171018698284,3.7443329336875757,0.20508598144788695,4.4464869735664255E-4,0.20508598144788698,0.0012314353021916085
Track_83,83,83,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,13.398711633488153,1632.767743399087,1965.9101599584394,0.0,0.0022061770797208937,0.004808096751551841,9.727991372563764E-4,0.0016819080311884398,0.0015221687431223477,1.5729252099990845,15.88582594726327,13.398711633488153,0.8434381490750512,0.0018607739126515926,0.8434381490750513,8.063887756242069E-4
Track_86,86,86,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,2.0681319442787793,1573.0257450842817,2024.236210665917,0.0,0.0013364992409143329,0.002719767215626749,2.8865304539587883E-4,0.0018601296548919602,0.001127339354828238,1.6546247686658586,9.623612952456465,2.9058515852502915,0.21490182060479485,2.872161201094165E-4,0.2149018206047949,0.0013208991267668383
Track_90,90,90,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,17.252171235348506,1676.5834055716066,2007.3686452004424,0.0,0.0027438987220634982,0.007191738914258045,5.632273018214831E-4,0.0016709552203603385,0.0026880432543078506,1.5543906688690186,19.757751051032294,17.252171235348506,0.8731849688149159,0.002395931120056304,0.8731849688149161,0.001568399757719953
Track_101,101,101,6,0,0,0,0,0,6000.5102995,1200.1020599,7200.6123594,7.168543776637016,1600.978763192421,2071.7825661894267,0.0,0.0013711042684773976,0.004836080965902719,2.2600077954964325E-4,4.8612379864505214E-4,0.0019502536547314063,1.4210694034894307,8.227325284687039,7.168543776637016,0.87130914709053,0.0011946556907392266,0.8713091470905302,9.037404921152781E-4
Track_102,102,102,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.017499403043593,1731.7005336898496,2080.8489911123847,0.0,0.0020981258230693715,0.003884371063643597,4.942269925488715E-4,0.002349646983631027,0.0012829569013597317,1.452358535357884,15.107790733169615,7.593638194509457,0.4644954068390992,9.745698077862277E-4,0.46449540683909923,0.0011966435764470466
Track_104,104,104,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,22.350257044480692,1838.5874643610816,2069.017909427038,0.0,0.0034753418837927636,0.006609461121499813,4.050552793200314E-4,0.004099387623895896,0.0023387791493282087,1.4696930987494332,25.024589721578657,22.686863862205698,0.8931318072802651,0.0031039383775886328,0.8931318072802653,6.256244914616833E-4
Track_105,105,105,6,0,0,0,0,0,6000.510299500001,0.0,6000.510299500001,7.315842486843877,1613.926322419751,2057.951262725615,0.0,0.001983924168800006,0.004916025793828985,1.442857526502729E-4,0.0011102153286560387,0.001927581936107188,1.3807618021965027,11.904557408311415,9.35405972661507,0.6145413253025408,0.0012192033879940974,0.6145413253025409,0.0014248137547983744
Track_106,106,106,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,3.550089694473389,1554.8782194564385,2072.639378758913,0.0,8.010772956347161E-4,0.0020110222458262286,3.6854747932117866E-4,4.867830223553878E-4,6.458815040665497E-4,1.6123484543391637,5.768247075782066,3.5579581337260073,0.6154538194763551,4.930260812941754E-4,0.6154538194763552,0.0013253225205426826
Track_107,107,107,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.95689651564213,2088.006798974418,2070.811619025245,0.0,0.0014564541418805243,0.0027628910155512495,6.062675878615587E-4,0.0011685245329175111,9.281040437816177E-4,1.496498397418431,10.487361694924225,8.95689651564213,0.8540657580235052,0.0012439076107116638,0.8540657580235053,2.9574984610133715E-4
Track_111,111,111,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.411885569101221,1911.8478102052845,2095.2772930057076,0.0,0.0012191236762438512,0.0035148306268631873,2.831525350286765E-4,8.614363794408167E-4,0.0012014074222553481,1.631570850099836,8.77843701079864,8.411885569101221,0.9582441109679876,0.001168218083302314,0.9582441109679877,4.917937407372736E-4
Track_114,114,114,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.725376718705385,1882.3452466596832,2092.5416432143916,0.0,0.00135425601922223,0.004006847576767303,2.404191280398142E-4,0.0013390821176553242,0.001400813878130088,1.3319491488592965,9.751472629803436,7.045905669887898,0.6896780593067153,9.340006631416255E-4,0.6896780593067154,0.0018051909782660445
Track_115,115,115,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,11.125083777853723,1776.99841047993,2087.6557537608046,0.0,0.0018129338845048787,0.002963346046629925,9.562733480840371E-5,0.0019887771294358598,0.0010037081520760068,1.4302750655582972,13.054234135540884,11.125083777853723,0.852220334210573,0.0015450191209544204,0.8522203342105732,8.868203287730868E-4
Track_118,118,118,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.859618118887608,1617.4102955366818,2120.068464805014,0.0,0.0017973146902860381,0.0034102301855157987,4.995627932824876E-4,0.0016105614474601392,0.001244943105984123,1.5040288141795568,12.94176637260483,9.481324286360026,0.6845756493983445,0.001230397871275749,0.6845756493983446,0.001205178670603484
Track_119,119,119,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.215790911970581,1583.7182895152068,2113.496083419144,0.0,0.0012749844451361248,0.003329036346208859,2.8202946943645617E-4,6.280242344595051E-4,0.0013117405585482509,1.5817050422940935,9.180668753689933,6.711536120205166,0.6770520839750704,8.632308756152122E-4,0.6770520839750704,8.838612650815094E-4
Track_123,123,123,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.5442713218447155,1699.2747412233825,2144.666773397061,0.0,0.0013082950790849327,0.003907097806860991,2.3765205303071752E-4,0.0011419623527587385,0.0013276938089116438,1.6123215981892176,9.420525716201167,6.015508249824188,0.5885309895508088,7.699721975183093E-4,0.588530989550809,9.081591682015596E-4
Track_124,124,124,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,12.29195713051531,1556.518088838084,2133.8652909483703,0.0,0.0019812724210689966,0.004565143743205753,6.541884047956271E-4,0.0020245482151652924,0.0015909077393016506,1.6178672313690186,14.266374682487776,12.29195713051531,0.8616034139075223,0.001707071081873869,0.861603413907522,0.001058061628391224
Track_125,125,125,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,14.985254920499235,1902.7840731211315,2127.3880489260637,0.0,0.002434582094032379,0.005462098154907301,4.787564611142682E-4,0.0029681535533509448,0.0018503924938165913,1.446580171585083,17.53048191626348,14.985254920499235,0.854811350428252,0.0020811084075282593,0.854811350428252,6.346904761448081E-4
Track_128,128,128,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,1.9128388717432252,2033.357305811064,2182.57646552067,0.0,9.88042206699572E-4,0.0024670945137250217,1.9445112519046588E-4,9.735120309916485E-4,8.124749592294267E-4,1.7183598109654017,7.114508925169788,2.9607652078893874,0.2688644981491221,2.6564947205443164E-4,0.26886449814912217,0.0019217997349464705
Track_132,132,132,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,9.564645992773253,1943.0284948461212,2166.1510320676866,0.0,0.0014651858810285042,0.0037210840209815693,1.5719542649473618E-4,0.00108263863278327,0.0014442273506232038,1.5561893326895577,10.550235563752228,9.577384357790512,0.9065812734679407,0.0013283100818900684,0.9065812734679409,6.742566584156223E-4
Track_134,134,134,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,15.351109794172801,1996.5257982360304,2219.088407432209,0.0,0.00234550528528087,0.005631261372733306,4.3059494977145676E-4,0.002926847257713535,0.002008872360155092,1.402008295059204,16.889074346231453,15.351109794172801,0.9089373093794317,0.00213191726313843,0.9089373093794315,5.258090450364169E-4
Track_137,137,137,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.351830120438546,1742.8090885983772,2193.595707659074,0.0,0.0020823782604447116,0.003981440030384689,3.0325744734302176E-4,0.0030569661019737497,0.0016651912880094705,1.479104995727539,14.994398639104062,8.317198052869907,0.4236135288462677,8.821236032997366E-4,0.42361352884626774,0.0011346907271072005
Track_138,138,138,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,9.105719323040848,1659.1022190880888,2187.784191248254,0.0,0.0013671486631793468,0.002184715828216437,4.954622236899064E-4,0.0017365553543951017,7.032851591114339E-4,1.4042477778026037,9.844307561226392,9.105719323040848,0.9249730635098593,0.0012645756872544092,0.9249730635098593,4.539505468253318E-4
Track_139,139,139,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,3.7420373253648385,1973.1647587592608,2249.9620889275907,0.0,0.0012707509158293104,0.003256137080590937,3.6630125716725367E-4,0.0012360600784921568,0.0010357413700862192,1.4816638231277466,9.1501847502394,3.9076968177339557,0.40895757053068615,5.196832072871992E-4,0.40895757053068615,0.0017684175756552908
Track_140,140,140,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.811965409454525,1740.6941035939806,2239.3665429495095,0.0,0.0021732221555493285,0.005922712649518741,2.2104987819920933E-4,0.0017934669498031943,0.002142040445384625,1.4774054970060075,15.648530312970404,7.811965409454525,0.4992139998591125,0.0010849029248542227,0.4992139998591125,0.0011172147084190852
Track_145,145,145,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,10.550812611738058,1575.2284742741306,2238.7040119598996,0.0,0.0016431891242117591,0.0030019059416716335,3.8784758543640164E-4,0.0014658417117210942,0.0010406159835619807,1.563712205205645,11.831967916630855,10.664997783351293,0.8917208604756253,0.001465266019766299,0.8917208604756254,7.42230080073953E-4
Track_146,146,146,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,1.209972784740207,2009.942969906637,2239.737841665424,0.0,0.0011082217635281165,0.0016574294934016708,2.2911921325314739E-4,0.001340269501741851,5.613072037357378E-4,1.4643607820783342,7.979875327416621,1.9010113541651565,0.1516280311527022,1.6803748408434385E-4,0.1516280311527022,0.0014783450400415673
Track_148,148,148,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,9.507107466689304,1904.9087261199911,2266.726860259062,0.0,0.002136391162854899,0.002997973262362018,3.114593934977436E-4,0.0028145108332114166,0.0011320705273003954,1.5016757249832153,15.383324611765923,10.245362566775364,0.6180138368410818,0.0013203192995493366,0.6180138368410819,8.950856672462999E-4
Track_150,150,150,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.4170640411043856,1570.477519247984,2268.6949319348582,0.0,0.0015331476287068898,0.003958335147907996,4.177660781565418E-4,0.001239156925320207,0.0013873931985298863,1.5076134375163488,11.039601764051636,5.834934338834095,0.49069379103366073,7.523060221444512E-4,0.49069379103366084,8.662031214869184E-4
Track_152,152,152,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,4.756251322273504,2125.7386565602983,2258.177514329572,0.0,0.001487492144840543,0.0026925626362803356,6.60395163021721E-4,0.0012865262697435288,8.223629106646098E-4,1.528662119592939,10.71085432264923,5.352562121580815,0.44405900584567837,6.605342830411473E-4,0.44405900584567837,0.0012899500623682963
Track_157,157,157,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,11.50923149334593,1993.5055737810485,2296.289781628281,0.0,0.002740382856810953,0.005552801524727776,9.624689668027161E-4,0.0031448588264829038,0.0016967322802615352,1.396435056413923,19.73243466824083,11.50923149334593,0.5832646445737347,0.0015983684329737965,0.5832646445737348,5.310495897747038E-4
