TREATMENT,TR,LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Control,CTR7,Track_528,22,22,15,0,0,0,0,0,25206.93764,0,25206.93764,24.85698304,339.8515133,217.2704677,0,0.001873548,0.007720143,1.27E-04,0.001572452,0.002032992,1.542342941,47.22640298,29.53942795,0.526336572,9.86E-04,0.526336572,9.31E-04
Control,CTR7,Track_529,23,23,15,0,0,0,0,0,25206.93764,0,25206.93764,14.12791892,530.0989676,221.1954977,0,0.001628034,0.008155027,2.36E-04,0.001080884,0.001979545,1.478068089,41.03776401,25.01089802,0.344266294,5.60E-04,0.344266294,2.86E-04
Control,CTR7,Track_530,24,24,15,0,0,0,0,0,25206.93764,0,25206.93764,3.416722973,539.6573674,247.2147302,0,8.51E-04,0.00213088,2.11E-04,9.33E-04,5.83E-04,1.398918287,21.4489565,6.430113125,0.159295534,1.36E-04,0.159295534,6.77E-04
Control,CTR7,Track_531,25,25,15,0,0,0,0,0,25206.93764,0,25206.93764,4.272546211,316.1322817,243.642765,0,0.001260365,0.002509806,4.50E-04,0.001286568,6.81E-04,1.468897192,31.76995027,9.194491858,0.134483881,1.69E-04,0.134483881,5.52E-04
Control,CTR7,Track_532,26,26,15,0,0,0,0,0,25206.93764,0,25206.93764,7.960875394,561.1569516,248.624251,0,9.45E-04,0.0040403,6.39E-05,7.33E-04,9.68E-04,1.458930198,23.80805845,8.066738923,0.334377346,3.16E-04,0.334377346,6.83E-04
Control,CTR7,Track_533,27,27,15,0,0,0,0,0,25206.93764,0,25206.93764,25.51269154,341.498744,273.5559269,0,0.001889881,0.005936504,1.42E-04,0.001097328,0.001721676,1.380828047,47.63811542,32.92629692,0.535552075,0.00101213,0.535552075,5.33E-04
Control,CTR7,Track_534,28,28,15,0,0,0,0,0,25206.93764,0,25206.93764,11.95697589,566.9046426,278.3141138,0,0.001443883,0.003322502,2.58E-04,0.001458359,9.39E-04,1.558816449,36.39586825,18.72879127,0.328525639,4.74E-04,0.328525639,8.86E-04
Control,CTR7,Track_535,29,29,15,0,0,0,0,0,25206.93764,0,25206.93764,23.18555112,533.7155547,282.3827651,0,0.001518032,0.004090463,3.48E-04,0.001340286,0.001175397,1.55140144,38.26494077,26.12234535,0.605921521,9.20E-04,0.605921521,8.30E-04
Control,CTR7,Track_536,30,30,15,0,0,0,0,0,25206.93764,0,25206.93764,14.67794241,300.3480302,277.9275398,0,0.001393308,0.003276385,4.84E-04,0.001143082,7.44E-04,1.502587589,35.12102576,17.16292469,0.41792465,5.82E-04,0.41792465,7.55E-04
Control,CTR7,Track_537,31,31,15,0,0,0,0,0,25206.93764,0,25206.93764,15.74858778,339.087595,291.8366089,0,0.001362738,0.003865938,1.74E-04,0.001328391,9.84E-04,1.416520365,34.35044339,20.74790389,0.458468253,6.25E-04,0.458468253,5.61E-04
Control,CTR7,Track_538,32,32,15,0,0,0,0,0,25206.93764,0,25206.93764,9.50880516,308.4990123,298.738787,0,7.79E-04,0.002680281,1.26E-04,4.98E-04,8.55E-04,1.183135017,19.62657205,10.59886746,0.484486294,3.77E-04,0.484486294,7.50E-04
Control,CTR7,Track_539,33,33,15,0,0,0,0,0,25206.93764,0,25206.93764,45.27899461,549.686475,311.0283823,0,0.00228019,0.006140713,5.33E-04,0.001613278,0.001675896,1.439260999,57.47661099,46.46940836,0.787781218,0.001796291,0.787781218,4.89E-04
