TREATMENT,TR,LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
GSK,GTR13,Track_1380,14,14,13,1,0,0,0,1,23406.4421,0,23406.4421,15.20424793,541.2547059,147.8731296,0,0.001542441,0.004509485,4.05E-04,0.001425566,0.001238056,1.198178181,34.05464829,15.20424793,0.446466156,6.50E-04,0.421134658,6.32E-04
GSK,GTR13,Track_1382,16,16,14,0,0,0,0,0,23406.4421,0,23406.4421,10.25902786,323.8150005,148.0526775,0,0.001212326,0.004208803,1.04E-04,9.73E-04,0.001062113,1.167216948,28.37624944,17.62448829,0.361535723,4.38E-04,0.361535723,3.97E-04
GSK,GTR13,Track_1383,17,17,14,0,0,0,0,0,23406.4421,0,23406.4421,10.12186266,285.240542,167.7550836,0,0.001340826,0.004985406,2.27E-04,0.001032947,0.001250665,1.195171714,31.38397079,16.51873333,0.322516954,4.32E-04,0.322516954,6.95E-04
GSK,GTR13,Track_1384,18,18,12,0,0,0,0,0,19805.451,0,19805.451,2.32552242,326.3525584,191.96122,0,0.00128604,0.00297862,3.62E-04,0.001216271,8.72E-04,1.24406303,25.47061004,4.731297685,0.091302188,1.17E-04,0.091302188,0.001056919
GSK,GTR13,Track_1385,19,19,14,0,0,0,0,0,23406.4421,0,23406.4421,7.656743108,299.3277154,197.5933174,0,8.53E-04,0.002258296,1.18E-04,5.49E-04,7.07E-04,1.412632602,19.9654865,8.529894461,0.38349895,3.27E-04,0.38349895,7.54E-04
GSK,GTR13,Track_1386,20,20,14,0,0,0,0,0,23406.4421,0,23406.4421,6.187056763,542.0017092,210.7157735,0,5.71E-04,0.001425157,1.09E-04,4.26E-04,4.23E-04,1.409386115,13.365953,6.187056763,0.462896792,2.64E-04,0.462896792,6.73E-04
GSK,GTR13,Track_1387,21,21,14,0,0,0,0,0,23406.4421,0,23406.4421,5.788316353,556.3600724,236.4688736,0,4.48E-04,0.00122948,4.54E-05,3.34E-04,3.59E-04,1.436482149,10.49213051,6.448549544,0.551681696,2.47E-04,0.551681696,6.79E-04
GSK,GTR13,Track_1388,22,22,14,0,0,0,0,0,23406.4421,0,23406.4421,2.555949029,320.4426529,236.6141801,0,5.94E-04,0.00120002,2.93E-05,3.98E-04,3.70E-04,1.396912132,13.8971664,4.085188466,0.183918718,1.09E-04,0.183918718,8.49E-04
GSK,GTR13,Track_1389,23,23,14,0,0,0,0,0,23406.4421,0,23406.4421,9.95684423,567.2782184,256.264882,0,0.001028013,0.002749851,2.54E-04,9.64E-04,6.28E-04,1.414855872,24.0621362,9.95684423,0.413797185,4.25E-04,0.413797185,4.84E-04
GSK,GTR13,Track_1390,24,24,14,0,0,0,0,0,23406.4421,0,23406.4421,10.84579623,338.4321323,259.8961351,0,0.001710599,0.008168986,9.66E-05,0.001162772,0.002072683,1.375151123,40.03903912,13.79288975,0.270880532,4.63E-04,0.270880532,4.45E-04
GSK,GTR13,Track_1391,25,25,14,0,0,0,0,0,23406.4421,0,23406.4421,10.4935801,300.315017,267.6541599,0,7.49E-04,0.001674837,5.20E-05,7.17E-04,4.50E-04,1.41277739,17.52373498,10.81553031,0.598820976,4.48E-04,0.598820976,4.50E-04
GSK,GTR13,Track_1392,26,26,13,1,0,0,0,1,23406.4421,0,23406.4421,25.80513901,569.5056653,281.3652907,0,0.001050466,0.007713016,8.65E-05,2.15E-04,0.002170364,1.082623995,36.58356638,27.96113609,0.705375161,0.00110248,1.049515232,9.97E-04
GSK,GTR13,Track_1395,29,29,14,0,0,0,0,0,23406.4421,0,23406.4421,5.506757979,299.4813256,291.2425771,0,6.02E-04,0.00198277,6.88E-05,3.67E-04,5.06E-04,1.345081806,14.10063426,5.506757979,0.390532644,2.35E-04,0.390532644,4.45E-04
GSK,GTR13,Track_1396,30,30,14,0,0,0,0,0,23406.4421,0,23406.4421,7.727380755,570.2362566,309.3754009,0,4.37E-04,0.001255454,2.97E-05,2.44E-04,3.87E-04,1.257230367,10.22648628,7.949391771,0.755624223,3.30E-04,0.755624223,6.34E-04
GSK,GTR13,Track_1397,31,31,13,0,0,0,0,0,21605.94655,0,21605.94655,16.08699923,286.7274849,319.5326977,0,0.001243496,0.003159608,1.87E-04,0.001098807,9.28E-04,1.465306227,26.86691542,16.08699923,0.59876614,7.45E-04,0.59876614,4.11E-04
GSK,GTR13,Track_1398,32,32,14,0,0,0,0,0,23406.4421,0,23406.4421,13.42353618,556.3817026,345.8760726,0,9.67E-04,0.00302149,1.88E-04,7.21E-04,9.08E-04,1.413957332,22.62703114,14.81904515,0.593252208,5.73E-04,0.593252208,7.07E-04
GSK,GTR13,Track_1399,33,33,14,0,0,0,0,0,23406.4421,0,23406.4421,11.54589419,306.7813452,349.3278198,0,5.75E-04,0.002458825,8.03E-05,3.58E-04,6.64E-04,1.40880772,13.44734864,11.54589419,0.858600048,4.93E-04,0.858600048,6.03E-04
GSK,GTR13,Track_1400,34,34,14,0,0,0,0,0,23406.4421,0,23406.4421,3.230241551,323.2765597,364.3955586,0,3.95E-04,8.56E-04,1.07E-05,4.35E-04,2.23E-04,1.242163939,9.245559678,3.230241551,0.349383019,1.38E-04,0.349383019,9.03E-04
GSK,GTR13,Track_1401,35,35,14,0,0,0,0,0,23406.4421,0,23406.4421,17.81391171,369.9538348,360.1538871,0,0.001039337,0.004807672,2.32E-04,5.38E-04,0.001262002,1.328248594,24.3271858,17.81391171,0.732263561,7.61E-04,0.732263561,5.91E-04
GSK,GTR13,Track_1402,36,36,14,0,0,0,0,0,23406.4421,0,23406.4421,9.176252826,312.7409781,379.3865152,0,9.59E-04,0.002048302,1.44E-04,9.86E-04,5.96E-04,1.259893307,22.44572704,9.176252826,0.408819586,3.92E-04,0.408819586,5.77E-04
GSK,GTR13,Track_1403,37,37,14,0,0,0,0,0,23406.4421,0,23406.4421,2.017615322,405.2886522,371.8638794,0,2.07E-04,6.04E-04,3.77E-05,1.77E-04,1.50E-04,1.131953742,4.844494065,2.151545625,0.416475961,8.62E-05,0.416475961,8.58E-04
GSK,GTR13,Track_1404,38,38,14,0,0,0,0,0,23406.4421,0,23406.4421,7.879963245,598.0308586,389.3837649,0,7.15E-04,0.001623324,1.89E-04,6.13E-04,5.26E-04,1.302550648,16.72719075,7.879963245,0.471087068,3.37E-04,0.471087068,5.75E-04
GSK,GTR13,Track_1405,39,39,14,0,0,0,0,0,23406.4421,0,23406.4421,3.294083159,331.0184337,405.5658208,0,8.16E-04,0.002044589,3.06E-04,6.43E-04,5.28E-04,1.46078292,19.10715421,4.43735448,0.172400512,1.41E-04,0.172400512,5.19E-04
GSK,GTR13,Track_1407,41,41,14,0,0,0,0,0,23406.4421,0,23406.4421,9.545969402,412.4825333,409.2725441,0,6.87E-04,0.001271668,2.83E-04,6.24E-04,2.82E-04,1.42947478,16.07084866,9.545969402,0.593992863,4.08E-04,0.593992863,4.90E-04
GSK,GTR13,Track_1408,42,42,14,0,0,0,0,0,23406.4421,0,23406.4421,11.23291679,377.5842478,409.781963,0,0.001023247,0.006383971,1.47E-04,4.70E-04,0.001696414,1.216172619,23.95056325,13.47009489,0.469004285,4.80E-04,0.469004285,9.44E-04
GSK,GTR13,Track_1409,43,43,14,0,0,0,0,0,23406.4421,0,23406.4421,5.256231975,583.0048447,426.9456033,0,5.41E-04,0.001442543,1.38E-04,4.75E-04,3.77E-04,1.390175726,12.66876708,5.256231975,0.414896883,2.25E-04,0.414896883,6.66E-04
GSK,GTR13,Track_1410,44,44,12,0,0,0,0,0,19805.451,0,19805.451,5.381258776,291.1596826,448.0631566,0,6.27E-04,0.001322569,1.77E-04,4.63E-04,4.12E-04,1.287439475,12.41240136,5.381258776,0.433538896,2.72E-04,0.433538896,9.00E-04
GSK,GTR13,Track_1412,46,46,14,0,0,0,0,0,23406.4421,0,23406.4421,0.624966631,315.105074,486.2368815,0,6.28E-04,0.001553186,1.09E-04,4.22E-04,5.31E-04,1.470972325,14.68855288,5.281297474,0.04254787,2.67E-05,0.04254787,9.35E-04
GSK,GTR13,Track_1413,47,47,14,0,0,0,0,0,23406.4421,0,23406.4421,53.33321229,601.3655924,438.9296713,0,0.002701282,0.013071603,2.44E-04,7.71E-04,0.00452262,1.19247669,63.2273913,54.16746871,0.843514357,0.00227857,0.843514357,5.46E-04
GSK,GTR13,Track_1414,48,48,14,0,0,0,0,0,23406.4421,0,23406.4421,5.167750871,587.6574974,506.3882083,0,4.13E-04,0.001090875,7.77E-05,3.31E-04,2.82E-04,1.460325948,9.665619392,5.167750871,0.534652841,2.21E-04,0.534652841,8.41E-04
GSK,GTR13,Track_1415,49,49,14,0,0,0,0,0,23406.4421,0,23406.4421,27.97694444,408.3096673,533.55203,0,0.001539532,0.009437866,1.51E-04,6.81E-04,0.002484049,1.373116246,36.03497739,27.97694444,0.776383016,0.001195267,0.776383016,4.43E-04
GSK,GTR13,Track_1416,50,50,14,0,0,0,0,0,23406.4421,0,23406.4421,24.03748398,541.4797291,496.9999308,0,0.001703962,0.00637162,1.05E-04,6.56E-04,0.002046318,1.30590117,39.88368891,26.35120141,0.602689587,0.00102696,0.602689587,5.96E-04
GSK,GTR13,Track_1417,51,51,14,0,0,0,0,0,23406.4421,0,23406.4421,9.155731659,322.8389443,519.3021635,0,6.12E-04,0.001355778,1.40E-04,4.82E-04,3.92E-04,1.32011669,14.33293789,9.155731659,0.6387896,3.91E-04,0.6387896,6.28E-04
GSK,GTR13,Track_1420,54,54,14,0,0,0,0,0,23406.4421,0,23406.4421,4.410479809,606.3966811,549.5681613,0,5.25E-04,0.001453449,7.32E-05,4.26E-04,4.26E-04,1.502039058,12.2833662,4.919330624,0.359061168,1.88E-04,0.359061168,6.67E-04
GSK,GTR13,Track_1421,55,55,14,0,0,0,0,0,23406.4421,0,23406.4421,13.60374317,349.8115327,562.1252577,0,8.15E-04,0.002498994,2.56E-05,7.83E-04,6.69E-04,1.423215543,19.06831297,13.60374317,0.713421433,5.81E-04,0.713421433,6.17E-04
GSK,GTR13,Track_1422,56,56,14,0,0,0,0,0,23406.4421,0,23406.4421,2.679455658,392.2652654,578.641465,0,7.31E-04,0.001801806,9.30E-05,6.38E-04,4.92E-04,1.413501842,17.1152499,3.750882831,0.156553698,1.14E-04,0.156553698,6.27E-04
GSK,GTR13,Track_1423,57,57,14,0,0,0,0,0,23406.4421,0,23406.4421,3.649255299,616.40674,585.6741503,0,6.16E-04,0.001269595,1.51E-04,5.83E-04,3.82E-04,1.50120203,14.42004786,3.844013423,0.253068182,1.56E-04,0.253068182,6.62E-04
GSK,GTR13,Track_1424,58,58,14,0,0,0,0,0,23406.4421,0,23406.4421,13.55194751,330.6378153,588.5802429,0,9.49E-04,0.002883239,2.01E-04,5.51E-04,8.80E-04,1.43408152,22.2052274,14.49905996,0.610304379,5.79E-04,0.610304379,8.03E-04
GSK,GTR13,Track_1425,59,59,14,0,0,0,0,0,23406.4421,0,23406.4421,19.08399925,545.8909645,612.3216077,0,0.001514549,0.005611809,1.52E-04,7.39E-04,0.001725528,1.345258517,35.45020267,24.2145119,0.538332585,8.15E-04,0.538332585,7.05E-04
GSK,GTR13,Track_1426,60,60,14,0,0,0,0,0,23406.4421,0,23406.4421,34.537993,343.0963347,632.0262092,0,0.001767592,0.006676533,2.54E-04,7.58E-04,0.002004046,1.414580567,41.37303817,34.537993,0.8347947,0.001475576,0.8347947,6.35E-04
GSK,GTR13,Track_1427,61,61,14,0,0,0,0,0,23406.4421,0,23406.4421,8.606026198,603.8197592,625.4158216,0,6.79E-04,0.002227905,2.73E-04,5.17E-04,5.87E-04,1.380297439,15.89845086,9.369326515,0.541312249,3.68E-04,0.541312249,8.53E-04
GSK,GTR13,Track_1428,62,62,14,0,0,0,0,0,23406.4421,0,23406.4421,3.942502306,582.9921179,650.7279011,0,9.88E-04,0.002055984,7.34E-05,6.57E-04,6.60E-04,1.338110396,23.12681161,5.885096751,0.170473231,1.68E-04,0.170473231,6.92E-04
GSK,GTR13,Track_1430,64,64,13,0,0,0,0,0,21605.94655,1800.495546,23406.4421,1.688007824,558.2196867,593.5789962,0,4.80E-04,0.001495722,5.31E-05,3.48E-04,4.90E-04,1.159749499,10.37010895,2.058430112,0.162776286,7.81E-05,0.162776286,8.25E-04
GSK,GTR13,Track_1431,65,65,10,0,0,0,0,0,16204.45991,1800.495546,18004.95546,1.035000259,287.902572,0,0,2.34E-04,3.83E-04,1.92E-04,1.92E-04,8.45E-05,1.267310655,3.795000949,1.035000259,0.272727273,6.39E-05,0.272727273,8.72E-04
GSK,GTR13,Track_1432,66,66,13,0,0,0,0,0,21605.94655,1800.495546,23406.4421,12.09365497,530.1735537,47.34192669,0,0.003720367,0.010824846,1.20E-04,0.002457575,0.004343677,1.132213556,80.38205137,12.86002372,0.150452181,5.60E-04,0.150452181,9.19E-04
GSK,GTR13,Track_1433,67,67,13,0,0,0,0,0,21605.94655,1800.495546,23406.4421,21.97982408,548.5776597,128.3253361,0,0.001896966,0.00514528,3.91E-04,0.001705256,0.001507453,1.12557435,40.98575127,21.97982408,0.536279644,0.001017304,0.536279644,7.96E-04
GSK,GTR13,Track_1434,68,68,11,1,0,0,0,1,19805.451,3600.991092,23406.4421,32.21676948,306.4493529,172.0404032,0,0.002545671,0.016402603,2.26E-04,9.97E-04,0.004961197,1.215321465,47.20349882,33.75726536,0.682508083,0.001626662,0.638991292,8.77E-04
GSK,GTR13,Track_1435,69,69,12,0,0,0,0,0,19805.451,3600.991092,23406.4421,4.962339586,350.9373736,188.2734383,0,6.90E-04,0.002192216,1.15E-04,6.35E-04,5.43E-04,1.409831593,13.66733893,7.456205221,0.363080159,2.51E-04,0.363080159,6.03E-04
GSK,GTR13,Track_1436,70,70,13,0,0,0,0,0,21605.94655,1800.495546,23406.4421,9.135043025,316.2761572,534.6947627,0,7.70E-04,0.001864199,1.78E-04,5.22E-04,5.88E-04,1.266349994,16.63174638,10.53013988,0.549253387,4.23E-04,0.549253387,7.83E-04
GSK,GTR13,Track_1437,71,71,10,0,0,0,0,0,16204.45991,7201.982183,23406.4421,3.036206729,588.9559902,667.5044535,0,4.36E-04,0.001138994,8.07E-05,3.61E-04,3.73E-04,1.450642157,7.072284085,4.675346221,0.429310629,1.87E-04,0.429310629,7.01E-04
GSK,GTR13,Track_1438,72,72,10,0,0,0,0,0,16204.45991,7201.982183,23406.4421,9.128826069,280.8778563,33.09988892,0,0.001168661,0.002426871,1.06E-04,8.95E-04,8.88E-04,1.072022533,18.93751298,9.556379601,0.482049891,5.63E-04,0.482049891,4.35E-04
GSK,GTR13,Track_1439,73,73,10,0,0,0,0,0,16204.45991,7201.982183,23406.4421,1.478307546,449.1792637,151.1726496,0,4.93E-04,0.001201696,1.48E-05,4.85E-04,3.55E-04,1.036081517,7.996514471,1.478307546,0.184868989,9.12E-05,0.184868989,0.00126673
GSK,GTR23,Track_374,0,0,14,0,0,0,0,0,23406.4421,0,23406.4421,8.507855887,615.9532391,6.698439202,0,9.01E-04,0.002918577,3.46E-04,6.20E-04,6.93E-04,1.441653115,21.0885037,8.507855887,0.40343573,3.63E-04,0.40343573,9.54E-04
GSK,GTR23,Track_375,1,1,14,0,0,0,0,0,23406.4421,0,23406.4421,2.589093962,633.8239913,37.36087662,0,3.19E-04,0.001006366,6.04E-05,2.80E-04,2.49E-04,1.755773272,7.471404769,2.662992841,0.346533757,1.11E-04,0.346533757,7.82E-04
GSK,GTR23,Track_376,2,2,14,0,0,0,0,0,23406.4421,0,23406.4421,7.30713431,339.5670805,27.86957778,0,4.81E-04,0.001094268,1.46E-04,3.30E-04,3.26E-04,1.53160211,11.24876332,7.30713431,0.649594458,3.12E-04,0.649594458,5.20E-04
GSK,GTR23,Track_378,4,4,14,0,0,0,0,0,23406.4421,0,23406.4421,3.204816188,319.5805741,60.72626128,0,5.34E-04,0.001451346,7.97E-05,4.26E-04,4.38E-04,1.456227703,12.49382611,3.474632263,0.256511989,1.37E-04,0.256511989,8.94E-04
GSK,GTR23,Track_379,5,5,14,0,0,0,0,0,23406.4421,0,23406.4421,8.539045556,664.9978367,55.37150409,0,5.40E-04,0.001354217,1.44E-04,3.33E-04,4.19E-04,1.474847036,12.64071897,8.794894494,0.675518978,3.65E-04,0.675518978,5.66E-04
GSK,GTR23,Track_380,6,6,14,0,0,0,0,0,23406.4421,0,23406.4421,8.05632175,648.4929992,79.89432449,0,8.74E-04,0.002299953,2.73E-04,6.13E-04,6.22E-04,1.360637631,20.44665849,8.05632175,0.394016546,3.44E-04,0.394016546,7.17E-04
GSK,GTR23,Track_381,7,7,14,0,0,0,0,0,23406.4421,0,23406.4421,11.64400754,372.5360614,81.64245707,0,8.10E-04,0.002765991,1.56E-04,4.72E-04,7.65E-04,1.55241039,18.96890542,11.64400754,0.613847098,4.97E-04,0.613847098,3.60E-04
GSK,GTR23,Track_382,8,8,11,0,0,0,0,0,18004.95546,0,18004.95546,3.173238709,320.7001998,81.14384917,0,7.31E-04,0.001875672,1.53E-04,7.88E-04,5.61E-04,1.372873935,13.16862136,5.43606987,0.240969698,1.76E-04,0.240969698,5.74E-04
GSK,GTR23,Track_383,9,9,12,0,0,0,0,0,19805.451,0,19805.451,10.21546247,639.4677729,93.62035532,0,0.001052244,0.00245698,2.78E-04,9.83E-04,6.54E-04,1.326328675,20.84016263,12.88358086,0.490181514,5.16E-04,0.490181514,4.39E-04
GSK,GTR23,Track_384,10,10,13,0,0,0,0,0,21605.94655,0,21605.94655,6.473815834,341.8079032,116.9888458,0,5.00E-04,0.00111808,1.49E-04,4.71E-04,3.00E-04,1.427022393,10.79429454,7.206913592,0.599744227,3.00E-04,0.599744227,7.76E-04
GSK,GTR23,Track_385,11,11,14,0,0,0,0,0,23406.4421,0,23406.4421,8.859685569,616.1218812,115.2440911,0,5.80E-04,0.001154313,3.03E-04,4.51E-04,3.11E-04,1.487968658,13.57022034,9.572886044,0.652877061,3.79E-04,0.652877061,4.87E-04
GSK,GTR23,Track_386,12,12,14,0,0,0,0,0,23406.4421,0,23406.4421,1.115812393,595.896051,131.1236258,0,2.21E-04,3.59E-04,9.47E-05,2.15E-04,7.21E-05,1.260407891,5.166796403,1.568940033,0.215958266,4.77E-05,0.215958266,0.001018024
GSK,GTR23,Track_387,13,13,14,0,0,0,0,0,23406.4421,0,23406.4421,12.23161979,337.545244,154.4239125,0,0.00182369,0.004287595,7.26E-05,0.0014939,0.001150897,1.509572089,42.68608904,15.68974266,0.286548149,5.23E-04,0.286548149,5.81E-04
GSK,GTR23,Track_388,14,14,14,0,0,0,0,0,23406.4421,0,23406.4421,2.279477356,616.6670487,170.1624179,0,3.93E-04,0.001066781,1.16E-04,3.07E-04,3.17E-04,1.586833085,9.201015829,3.668821744,0.247741923,9.74E-05,0.247741923,6.15E-04
GSK,GTR23,Track_389,15,15,14,0,0,0,0,0,23406.4421,0,23406.4421,3.132091605,639.5656307,184.9232243,0,4.14E-04,0.002131813,1.06E-04,2.13E-04,5.61E-04,1.515689875,9.693793754,5.5450476,0.323102769,1.34E-04,0.323102769,7.58E-04
GSK,GTR23,Track_390,16,16,14,0,0,0,0,0,23406.4421,0,23406.4421,6.217643324,380.9477299,197.0209357,0,6.80E-04,0.001970779,5.63E-05,5.81E-04,5.69E-04,1.550288362,15.91201428,8.243756866,0.390751492,2.66E-04,0.390751492,5.68E-04
GSK,GTR23,Track_391,17,17,14,0,0,0,0,0,23406.4421,0,23406.4421,2.991213443,351.2278888,239.111141,0,8.90E-04,0.003219991,1.25E-04,4.17E-04,0.001004616,1.250465402,20.83247419,7.984148056,0.143584167,1.28E-04,0.143584167,5.84E-04
GSK,GTR23,Track_392,18,18,14,0,0,0,0,0,23406.4421,0,23406.4421,11.73638699,642.0558235,231.5298055,0,9.66E-04,0.003524851,3.48E-05,7.22E-04,9.56E-04,1.551429059,22.6196226,11.73638699,0.518858656,5.01E-04,0.518858656,4.76E-04
GSK,GTR23,Track_393,19,19,14,0,0,0,0,0,23406.4421,0,23406.4421,10.05700692,664.0248268,240.0904703,0,8.50E-04,0.00257435,2.38E-04,4.40E-04,8.06E-04,1.435766884,19.88676983,10.1332236,0.505713447,4.30E-04,0.505713447,5.18E-04
GSK,GTR23,Track_394,20,20,14,0,0,0,0,0,23406.4421,0,23406.4421,1.592904543,431.2060768,254.454721,0,1.88E-04,3.10E-04,9.36E-05,1.80E-04,7.54E-05,1.351116402,4.408937664,1.632480681,0.361289876,6.81E-05,0.361289876,8.08E-04
GSK,GTR23,Track_395,21,21,14,0,0,0,0,0,23406.4421,0,23406.4421,4.143766629,328.939393,280.7370942,0,5.40E-04,0.001363784,1.18E-04,3.89E-04,3.75E-04,1.539751674,12.63717688,4.143766629,0.327902875,1.77E-04,0.327902875,6.36E-04
GSK,GTR23,Track_396,22,22,13,1,0,0,0,1,23406.4421,0,23406.4421,3.642448152,643.0010627,272.1962843,0,4.91E-04,0.001942864,3.86E-05,3.41E-04,5.19E-04,1.366389467,11.05358125,5.024851525,0.329526519,1.56E-04,0.317218865,6.98E-04
GSK,GTR23,Track_397,23,23,14,0,0,0,0,0,23406.4421,0,23406.4421,5.590445982,643.9823779,302.4758423,0,4.89E-04,0.001022248,4.73E-05,4.57E-04,2.62E-04,1.559010812,11.44418524,5.590445982,0.488496635,2.39E-04,0.488496635,7.19E-04
GSK,GTR23,Track_398,24,24,14,0,0,0,0,0,23406.4421,0,23406.4421,43.44715145,415.3392453,271.978284,0,0.002072592,0.016965854,4.86E-05,3.83E-04,0.004688257,1.2438179,48.51201518,43.57415591,0.895595685,0.001856205,0.895595685,6.52E-04
GSK,GTR23,Track_400,26,26,14,0,0,0,0,0,23406.4421,0,23406.4421,9.225302689,308.9370781,343.2900683,0,8.99E-04,0.006738461,4.60E-05,2.43E-04,0.001819738,1.436062711,21.05394746,12.13256818,0.43817449,3.94E-04,0.43817449,9.15E-04
GSK,GTR23,Track_401,27,27,13,0,0,0,0,0,21605.94655,0,21605.94655,19.93990404,289.5811369,362.3784459,0,0.001702228,0.010777935,8.26E-05,9.07E-04,0.002959983,1.158479636,36.77825708,19.93990404,0.542165552,9.23E-04,0.542165552,6.46E-04
GSK,GTR23,Track_402,28,28,10,0,0,0,0,0,16204.45991,0,16204.45991,7.735131306,297.538353,348.6816677,0,7.46E-04,0.003815269,8.99E-05,2.60E-04,0.001203931,1.108769202,12.08786195,8.141660508,0.639908971,4.77E-04,0.639908971,5.35E-04
GSK,GTR23,Track_403,29,29,14,0,0,0,0,0,23406.4421,0,23406.4421,3.407614252,625.6187783,390.6615368,0,2.96E-04,6.37E-04,8.59E-05,2.15E-04,2.01E-04,1.421564843,6.919403006,4.263027549,0.492472291,1.46E-04,0.492472291,7.06E-04
GSK,GTR23,Track_405,31,31,14,0,0,0,0,0,23406.4421,0,23406.4421,2.007591393,461.5469805,405.3345337,0,3.87E-04,0.001117715,3.72E-05,3.15E-04,2.85E-04,1.717856773,9.048093452,2.805630196,0.221880046,8.58E-05,0.221880046,8.55E-04
GSK,GTR23,Track_406,32,32,14,0,0,0,0,0,23406.4421,0,23406.4421,10.59764388,616.1649866,433.1127222,0,8.60E-04,0.002735486,8.16E-05,6.74E-04,8.66E-04,1.331467892,20.1326752,10.59764388,0.526390248,4.53E-04,0.526390248,8.61E-04
GSK,GTR23,Track_407,33,33,14,0,0,0,0,0,23406.4421,0,23406.4421,3.934671217,286.4426151,428.7578798,0,7.16E-04,0.001394533,3.01E-04,6.70E-04,3.46E-04,1.454993495,16.76196213,5.782851289,0.234738104,1.68E-04,0.234738104,8.59E-04
GSK,GTR23,Track_408,34,34,14,0,0,0,0,0,23406.4421,0,23406.4421,6.83838649,313.6075029,441.9578553,0,5.97E-04,0.001737771,4.44E-05,5.34E-04,4.16E-04,1.67482784,13.98476781,7.005170436,0.488988204,2.92E-04,0.488988204,6.70E-04
GSK,GTR23,Track_409,35,35,14,0,0,0,0,0,23406.4421,0,23406.4421,1.559362392,333.4613844,460.6692526,0,4.82E-04,0.001189584,1.20E-04,4.35E-04,3.40E-04,1.161619876,11.28710599,1.943712345,0.138154315,6.66E-05,0.138154315,7.27E-04
GSK,GTR23,Track_411,37,37,13,1,0,0,0,1,23406.4421,0,23406.4421,1.048091605,624.3496128,487.157108,0,4.56E-04,0.001422148,5.90E-05,3.21E-04,4.49E-04,1.377779227,9.950378259,2.307155373,0.105331835,4.48E-05,0.098279158,6.37E-04
GSK,GTR23,Track_412,38,38,14,0,0,0,0,0,23406.4421,0,23406.4421,2.662657629,650.1645162,505.2523889,0,4.11E-04,0.001270888,3.39E-05,2.83E-04,3.53E-04,1.475485938,9.623692631,4.052209412,0.276677335,1.14E-04,0.276677335,4.51E-04
GSK,GTR23,Track_413,39,39,14,0,0,0,0,0,23406.4421,0,23406.4421,9.273385421,324.2371244,497.3521006,0,8.38E-04,0.002369541,1.67E-04,4.37E-04,6.24E-04,1.757725596,19.60447422,9.273385421,0.473023929,3.96E-04,0.473023929,4.03E-04
GSK,GTR23,Track_414,40,40,10,0,0,0,0,0,16204.45991,0,16204.45991,1.49827397,619.6749537,549.3547877,0,2.39E-04,3.68E-04,1.13E-04,2.20E-04,8.64E-05,1.300770402,3.871835756,1.49827397,0.386967337,9.25E-05,0.386967337,7.65E-04
GSK,GTR23,Track_415,41,41,14,0,0,0,0,0,23406.4421,0,23406.4421,3.493167538,637.0070694,550.8229133,0,4.39E-04,0.001010699,1.36E-04,3.42E-04,2.46E-04,1.455759389,10.27607796,4.441582562,0.339931981,1.49E-04,0.339931981,7.17E-04
GSK,GTR23,Track_416,42,42,14,0,0,0,0,0,23406.4421,0,23406.4421,17.57298721,624.907171,576.5327202,0,0.0010812,0.003589895,1.61E-04,0.001073655,9.55E-04,1.346578096,25.30704429,17.57298721,0.694391135,7.51E-04,0.694391135,6.16E-04
GSK,GTR23,Track_417,43,43,14,0,0,0,0,0,23406.4421,0,23406.4421,2.615898983,445.318448,577.3295072,0,1.64E-04,3.29E-04,3.94E-05,1.73E-04,7.98E-05,1.19313854,3.832673122,2.615898983,0.682525981,1.12E-04,0.682525981,6.27E-04
GSK,GTR23,Track_419,45,45,14,0,0,0,0,0,23406.4421,0,23406.4421,9.313056684,319.5595406,600.8375428,0,4.79E-04,0.0016964,5.78E-05,3.31E-04,4.82E-04,1.504102119,11.20613758,9.313056684,0.831067494,3.98E-04,0.831067494,6.79E-04
GSK,GTR23,Track_420,46,46,14,0,0,0,0,0,23406.4421,0,23406.4421,2.093298751,618.183492,665.5572143,0,5.11E-04,0.00116426,1.22E-04,4.59E-04,3.72E-04,1.457884371,11.97176841,4.263339126,0.174852927,8.94E-05,0.174852927,7.47E-04
GSK,GTR23,Track_421,47,47,14,0,0,0,0,0,23406.4421,0,23406.4421,3.55982327,325.7587402,654.6137447,0,3.70E-04,6.54E-04,1.50E-04,3.64E-04,1.70E-04,1.762441891,8.658507264,3.55982327,0.411135911,1.52E-04,0.411135911,7.70E-04
